phylum,class,order,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,48,266.95,1,26.73272808912,-0.20943765822777594,-0.10387863118857198,-0.48506403841571116,0.13715405650150428,0.22834570059727075,0.22802515247199695,0.2443015870324343,0.20609973076896096,0.2071202893219561,0.14693580245276683,0.08985044908765102,0.08985044908765102,0.015097521048819881,0.009567976632971723
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,47,270.55,0,27.48670365874,-0.10387863118857164,-0.6743142454696626,0.32016825587524506,0.38510202118758935,0.3444385887857409,0.3405893920170568,0.26601206526125065,0.2505612200810823,0.163108068405595,0.08906920739290186,0.047777759314530654,0.08906920739290186,0.013330796157764963,0.007701434880986222
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,46,275.8,0,28.03206647248,-0.6743142454696748,1.447698438281458,1.0070285058950494,0.6916180995724801,0.5701720436389651,0.37049080885063945,0.30811820225805087,0.1699651036763871,0.07362391169199335,0.02935128957551323,-0.025494537111441323,0.07362391169199335,0.010269583137743439,0.0047066760575831985
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,45,284.7,0,34.03346325716,1.4476984382814735,0.01818793410908964,-0.07235278029883795,0.08067961365182572,-0.012740606777061647,0.08351813409864026,-0.008447356275317579,-0.056225058540783586,-0.0597596413690924,-0.09454610084594778,-0.09130085206254447,-0.056225058540783586,-0.0019840619515356294,-0.00603438573082335
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,44,292.8,0,22.30710590708,0.018187934109091114,-0.17183189276097321,0.15857364450516453,-0.025064721853271126,0.10734394292896333,-0.01549460213599173,-0.06864559321573109,-0.06795508030847218,-0.10408082614337612,-0.09813699427833848,-0.07438509697230572,-0.06864559321573109,7.369375803924552e-5,-0.004624376129351127
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,43,297.2,0,22.227078997,-0.1718318927609729,0.4944291010765288,-0.04178908546733827,0.1437377455776994,-0.025386941240817473,-0.08400801864810108,-0.07707276734524185,-0.11465398650956396,-0.10535806555463009,-0.07795377568558332,-0.04103282539112759,-0.08400801864810108,0.0029590703562563238,-0.0026350878820718023
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,42,301.3,0,22.93158975732,0.4944291010765497,-0.378182974786082,0.1249033435811496,-0.08331884147094441,-0.12662229256959248,-0.1000777577192548,-0.1352955305982167,-0.11924728226621513,-0.08595989021990406,-0.043889847143605436,-0.05926472779120416,-0.12662229256959248,0.005563947073051175,-0.0010634909718999694
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,41,305.35,0,20.92915189796,-0.37818297478608637,0.4437977336370341,-0.06706120086427633,-0.13426134297586018,-0.09753834710070071,-0.14057640370898866,-0.1202547698855696,-0.08166985038092575,-0.03425170593800438,-0.05329826642006509,-0.048966612552679784,-0.13426134297586018,0.014086779294739107,0.005023878613205116
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,40,311.1,0,23.10370400298,0.44379773363704855,-0.5997265904458543,-0.2901536976107863,-0.14902687648293497,-0.18154948970320087,-0.14321289374446533,-0.09156896055571097,-0.03360842322633319,-0.056329819709258926,-0.05074116369165604,-0.04632998256785788,-0.2901536976107863,0.020652718543770158,0.008912600241104658
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,39,319.2,0,19.50894236052,-0.5997265904458585,-0.10906159165446877,-0.03712479908391094,-0.13358419004376434,-0.10195349819869123,-0.04754220688721672,0.01635454850656088,-0.021134132751110597,-0.02050977941295129,-0.01958359726706147,-0.019705937635940227,-0.10906159165446877,0.04328999148797292,0.024398395824533122
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,38,327.05,0,24.21679609552,-0.10906159165446866,0.019833240855714508,-0.16875006736033069,-0.10604630056511714,-0.028226970738344456,0.05540372702543851,-0.004632986338167911,-0.00736885138949638,-0.008462765107573642,-0.010321853566546843,0.0043247735491011565,NA,0.059600766491226066,0.032710499541522865
Cnidaria,Anthozoa,Favositida,Pachyporidae,Acaciapora,37,338.8,0,25.49826979746,0.01983324085571438,-0.3823748424156824,-0.1320856127014258,0.005108074053098831,0.1265622782096264,0.014127424245448902,0.005003731662035855,8.306683200159257e-4,-0.003388423600416015,0.014863493823552855,0.012809872391836829,NA,0.07740089027921648,0.039388445012595454
Cnidaria,Anthozoa,Scleractinia,Rhipidogyridae,Acanthogyra,75,106.75,1,28.531240573,0.8685566907510194,-0.2914252379512204,-0.0737179206626506,-0.06150032115050235,-0.23848877684663422,-0.2164410392451302,-0.17944228273025853,-0.11626338900019412,-0.06951260163482255,-0.01914339658528527,-0.007026114690745371,-0.06951260163482255,-0.007750741005308827,-0.0693495439534305
Cnidaria,Anthozoa,Scleractinia,Rhipidogyridae,Acanthogyra,74,119,0,17.8914211113,-0.29142523795121855,0.49753485134683045,0.0850607788638555,-0.3169512255586985,-0.24610596777909832,-0.1829052035264241,-0.0979890593736535,-0.04247683943135697,0.01587465145490198,0.026228380667904422,0.021437364391182545,-0.04247683943135697,0.021437364391182545,-0.06842771543400794
