class,order,superfamily,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Foraminifera,Textulariida,Orbitolinoidea,Orbitolinidae,Abrardia,81,69.05,1,22.158076148,-0.12803490363636336,-1.661093434326752,-1.2429524569143262,-0.9564761530740497,-0.5357499406255279,-0.09391954841955397,0.24822389105099815,0.27225610739622486,0.28910855120638923,0.27808438162923643,0.22646016324629203,NA,0.27808438162923643,0.006651666783646109
Foraminifera,Textulariida,Orbitolinoidea,Orbitolinidae,Abrardia,80,77.85,0,23.2847833,-1.6610934343267594,0.002748640722578075,-0.20969601248837674,0.07659994428602537,0.3122840266860469,0.5168408782122417,0.44861796424687844,0.42944574803541025,0.39197805470138825,0.3145903566692203,0.26648258919432954,NA,0.39197805470138825,0.008140935625126954
Foraminifera,Lagenida,Geinitzinoidea,Abriolinidae,Abriolina,55,239.5,1,29.8918332125,-0.2926768613372592,1.309384210526092,0.6889050737408611,0.34289353307189496,0.20346347775330162,0.27136776208884295,0.1707907405296209,0.10490260128036953,0.05536309229322066,-0.06949488816786792,0.026246760481211728,NA,NA,0.004247099958261274
Foraminifera,Lagenida,Geinitzinoidea,Abriolinidae,Abriolina,54,244.6,0,31.38448520532,1.3093842105261047,-0.7135062208330064,-0.8747306939732494,-0.2922611070611724,0.11992855036654926,0.05420222141359423,0.008514037941510828,-0.022720985132783915,-0.14230171361879457,-0.010847417340854591,0.04246461538977772,NA,NA,-6.000141707200057e-4
Foraminifera,Textulariida,Textularioidea,Chrysalidinidae,Accordiella,79,84.95,1,35.07854668372,0.0027486407225813343,-0.3716680796192142,0.15816628327437116,0.3944344491345472,0.587095457686506,0.48550418481069757,0.4565365418271044,0.40987104799529833,0.31976331229941873,0.26471939565212976,0.22340639541700721,NA,0.12248981649559063,0.0020404273139938427
Foraminifera,Textulariida,Textularioidea,Chrysalidinidae,Accordiella,78,88.05,0,35.07002589748,-0.3716680796192109,0.4942687518272852,0.5362199997291041,0.6841776907637834,0.5287823401474817,0.4858680116091552,0.42592857885256824,0.3170980810352787,0.2528006535384694,0.20627425691286133,0.18539509752551414,NA,0.1046402955782476,-0.005271694491798571
Foraminifera,Rotaliida,Nummulitoidea,Orthophragminidae,Actinocyclina,87,35.95,1,19.8905888754512,-0.8619725741798937,-0.3793710736540822,-0.6741597946427392,-0.12341930348081354,0.07062196262048817,0.10414352433598476,0.0810563889810057,-0.09526439787438391,-0.1643098547082315,-0.20716955792268615,-0.20679035576984894,-0.3793710736540822,-0.12341930348081354,-0.20679035576984894
Foraminifera,Rotaliida,Nummulitoidea,Orthophragminidae,Actinocyclina,86,39.65,0,23.0798873999168,-0.37937107365408296,-0.846119881886123,0.06334654317347792,0.2607906683432579,0.2436356335837401,0.16053913047719015,-0.08566948354169784,-0.17192186880086227,-0.22234102984752915,-0.21945596672729697,-0.15957598711371215,NA,0.06334654317347792,-0.21945596672729697
Foraminifera,Rotaliida,Nummulitoidea,Orthophragminidae,Actinocyclina,85,44.55,0,24.9388056608218,-0.8461198818861234,1.0527383247369264,0.841953373314407,0.5429390709252615,0.2695240413714809,-0.1063820095984059,-0.21342162788599536,-0.26973273805416453,-0.25734548332434654,-0.17448683811831758,-0.021333516002116137,NA,1.0527383247369264,-0.25734548332434654
Foraminifera,Earlandiida,Earlandioidea,Earlandiidae,Aeolisaccus,51,253.17,1,28.90744375444,0.31350121595860136,0.603295645588287,0.11610293157506896,-0.0185274002728672,-0.07338548810546776,-0.25601786131214904,-0.009584571780372118,0.06676198719468882,0.08882748050705294,0.11495639595431519,0.10843686292566103,NA,-0.00318517442177176,-0.00318517442177176
Foraminifera,Earlandiida,Earlandioidea,Earlandiidae,Aeolisaccus,50,257.035,0,27.69576155476,0.6032956455883056,-0.5244892668539282,-0.38905889258261767,-0.26461568090953347,-0.4021133237359253,-0.026856494435208097,0.07047234461356222,0.09597276816509616,0.12554292154552918,0.11609271069990983,0.13197155674541616,NA,-0.005978871828957626,-0.005978871828957626
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,58,204.9,1,23.3933988941,-0.12192164751460707,-0.07445674586526337,-0.20649046965708368,-0.24500007167419935,-0.10661829165468513,-0.0743785751315857,-0.07942063181717562,-0.06457487845584008,-0.012223415024214366,-0.003532380002007976,-0.004801341426963586,0.06381929547658431,0.06381929547658431,0.052915428718970085
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,57,218.25,0,25.02105288842,-0.07445674586526273,-0.5442530993571418,-0.44458609728368853,-0.02396397615964646,0.02050153307311546,-0.008480172638770458,0.003954665892709205,0.07973472737503091,0.06992019482911391,0.051312106494784106,0.031242617132879194,0.0808470044489924,0.0808470044489924,0.065738688428592
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,56,232.5,0,26.082061517,-0.5442530993571473,-0.2926768613372559,0.45334874610413634,0.356380095424538,0.2263329491742544,0.17549020834223136,0.22962122569469454,0.1676370687340068,0.11730661266729535,0.07467881762449742,-0.03485090840537337,0.09288194235700387,0.09288194235700387,0.07443127291293104
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,55,239.5,0,29.8918332125,-0.2926768613372592,1.309384210526092,0.6889050737408611,0.34289353307189496,0.20346347775330162,0.27136776208884295,0.1707907405296209,0.10490260128036953,0.05536309229322066,-0.06949488816786792,0.026246760481211728,0.091470965064966,0.091470965064966,0.07169967436774163
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,54,244.6,0,31.38448520532,1.3093842105261047,-0.7135062208330064,-0.8747306939732494,-0.2922611070611724,0.11992855036654926,0.05420222141359423,0.008514037941510828,-0.022720985132783915,-0.14230171361879457,-0.010847417340854591,0.04246461538977772,0.08196832462207033,0.08196832462207033,0.06217303629042968
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,53,249.2,0,25.3613178369,-0.7135062208329868,-1.1939817904174956,-0.0208284511332424,0.31724785743843953,0.15107036945802302,0.06743797888625798,0.013393438278044824,-0.1361100993811566,0.00906012305088353,0.06355375517885252,0.08126648753138098,0.09335854472789772,0.09335854472789772,0.07005982273918474
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,52,251.685,0,27.13438079567,-1.193981790417528,0.3135012159585994,0.4912079972009415,0.2134749689103338,0.09362434635616058,0.02077671945245074,-0.1564850305221566,0.015347697436977076,0.07490289851011551,0.09259912093096433,0.11482518954744853,0.09966706300624573,0.09966706300624573,0.07311181671752404
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,51,253.17,0,28.90744375444,0.31350121595860136,0.603295645588287,0.11610293157506896,-0.0185274002728672,-0.07338548810546776,-0.25601786131214904,-0.009584571780372118,0.06676198719468882,0.08882748050705294,0.11495639595431519,0.10843686292566103,0.09779038360483024,0.09779038360483024,0.0684799952667286
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,50,257.035,0,27.69576155476,0.6032956455883056,-0.5244892668539282,-0.38905889258261767,-0.26461568090953347,-0.4021133237359253,-0.026856494435208097,0.07047234461356222,0.09597276816509616,0.12554292154552918,0.11609271069990983,0.13197155674541616,0.10095700964659302,0.10095700964659302,0.06700430867180159
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,49,262.5,0,24.39875085162,-0.5244892668539343,-0.20943765822777405,-0.14368809386598588,-0.4103425301392139,0.0579241841751803,0.15096935762573577,0.16442835334469963,0.18743240211543344,0.1651939568708196,0.17377140828736154,0.12934403223902669,0.12934403223902669,0.12934403223902669,0.0840645291661931
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,48,266.95,0,26.73272808912,-0.20943765822777594,-0.10387863118857198,-0.48506403841571116,0.13715405650150428,0.22834570059727075,0.22802515247199695,0.2443015870324343,0.20609973076896096,0.2071202893219561,0.14693580245276683,0.08985044908765102,0.14693580245276683,0.14693580245276683,0.08985044908765102
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,47,270.55,0,27.48670365874,-0.10387863118857164,-0.6743142454696626,0.32016825587524506,0.38510202118758935,0.3444385887857409,0.3405893920170568,0.26601206526125065,0.2505612200810823,0.163108068405595,0.08906920739290186,0.047777759314530654,0.163108068405595,0.163108068405595,0.08906920739290186
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,46,275.8,0,28.03206647248,-0.6743142454696748,1.447698438281458,1.0070285058950494,0.6916180995724801,0.5701720436389651,0.37049080885063945,0.30811820225805087,0.1699651036763871,0.07362391169199335,0.02935128957551323,-0.025494537111441323,0.1699651036763871,0.1699651036763871,0.07362391169199335
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,45,284.7,0,34.03346325716,1.4476984382814735,0.01818793410908964,-0.07235278029883795,0.08067961365182572,-0.012740606777061647,0.08351813409864026,-0.008447356275317579,-0.056225058540783586,-0.0597596413690924,-0.09454610084594778,-0.09130085206254447,-0.008447356275317579,-0.008447356275317579,-0.056225058540783586
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,44,292.8,0,22.30710590708,0.018187934109091114,-0.17183189276097321,0.15857364450516453,-0.025064721853271126,0.10734394292896333,-0.01549460213599173,-0.06864559321573109,-0.06795508030847218,-0.10408082614337612,-0.09813699427833848,-0.07438509697230572,-0.01549460213599173,-0.01549460213599173,-0.06864559321573109
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,43,297.2,0,22.227078997,-0.1718318927609729,0.4944291010765288,-0.04178908546733827,0.1437377455776994,-0.025386941240817473,-0.08400801864810108,-0.07707276734524185,-0.11465398650956396,-0.10535806555463009,-0.07795377568558332,-0.04103282539112759,-0.025386941240817473,-0.025386941240817473,-0.08400801864810108
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,42,301.3,0,22.93158975732,0.4944291010765497,-0.378182974786082,0.1249033435811496,-0.08331884147094441,-0.12662229256959248,-0.1000777577192548,-0.1352955305982167,-0.11924728226621513,-0.08595989021990406,-0.043889847143605436,-0.05926472779120416,-0.08331884147094441,-0.08331884147094441,-0.12662229256959248
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,41,305.35,0,20.92915189796,-0.37818297478608637,0.4437977336370341,-0.06706120086427633,-0.13426134297586018,-0.09753834710070071,-0.14057640370898866,-0.1202547698855696,-0.08166985038092575,-0.03425170593800438,-0.05329826642006509,-0.048966612552679784,-0.06706120086427633,-0.06706120086427633,-0.13426134297586018
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,40,311.1,0,23.10370400298,0.44379773363704855,-0.5997265904458543,-0.2901536976107863,-0.14902687648293497,-0.18154948970320087,-0.14321289374446533,-0.09156896055571097,-0.03360842322633319,-0.056329819709258926,-0.05074116369165604,-0.04632998256785788,-0.5997265904458543,-0.5997265904458543,-0.2901536976107863
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,39,319.2,0,19.50894236052,-0.5997265904458585,-0.10906159165446877,-0.03712479908391094,-0.13358419004376434,-0.10195349819869123,-0.04754220688721672,0.01635454850656088,-0.021134132751110597,-0.02050977941295129,-0.01958359726706147,-0.019705937635940227,NA,NA,-0.10906159165446877
Foraminifera,Miliolida,Cornuspiroidea,Hemigordiopsidae,Agathammina,38,327.05,0,24.21679609552,-0.10906159165446866,0.019833240855714508,-0.16875006736033069,-0.10604630056511714,-0.028226970738344456,0.05540372702543851,-0.004632986338167911,-0.00736885138949638,-0.008462765107573642,-0.010321853566546843,0.0043247735491011565,NA,NA,NA
Foraminifera,Rotaliida,Rotalioidea,Pseudorbitoididae,Aktinorbitoides,81,69.05,1,22.158076148,-0.12803490363636336,-1.661093434326752,-1.2429524569143262,-0.9564761530740497,-0.5357499406255279,-0.09391954841955397,0.24822389105099815,0.27225610739622486,0.28910855120638923,0.27808438162923643,0.22646016324629203,NA,NA,-0.5357499406255279
Foraminifera,Rotaliida,Rotalioidea,Pseudorbitoididae,Aktinorbitoides,80,77.85,0,23.2847833,-1.6610934343267594,0.002748640722578075,-0.20969601248837674,0.07659994428602537,0.3122840266860469,0.5168408782122417,0.44861796424687844,0.42944574803541025,0.39197805470138825,0.3145903566692203,0.26648258919432954,NA,NA,0.07659994428602537
Foraminifera,Rotaliida,Acervulinoidea,Acervulinidae,Alanlordia,93,3.9605,1,23.7923002775141,0.33371983761335383,0.08680393564986273,0.10754213910150875,0.08703112564338987,0.11510337943557467,0.0988394137670447,0.027050715519245174,-0.03730372110936539,-0.14884831634072745,-0.11545671803941254,-0.07177317785832589,0.08680393564986273,-0.07177317785832589,-0.15912472945312267
Foraminifera,Rotaliida,Acervulinoidea,Acervulinidae,Alanlordia,92,8.4765,0,22.2852214908522,0.08680393564986462,0.12642869859796657,0.08085265524403969,0.12483166755384478,0.09874551204071429,0.002602920706365343,-0.07554601705447662,-0.2068775975045344,-0.1503062166388884,-0.09032567705187011,-0.06219205530362001,NA,-0.09032567705187011,-0.17519195979929544
Foraminifera,Rotaliida,Acervulinoidea,Acervulinidae,Alanlordia,91,13.795,0,21.8235547590984,0.12642869859796757,0.038847215666446305,0.13854157681584328,0.09239762424880117,-0.04505781528367333,-0.13968301472370484,-0.2927914035580671,-0.19440448362841006,-0.11010539118728126,-0.0722353485897747,-0.055261414052908096,NA,-0.11010539118728126,-0.19158818627844929
Foraminifera,Textulariida,Coscinophragmatoidea,Coscinophragmatidae,Alpinophragmium,58,204.9,1,23.3933988941,-0.12192164751460707,-0.07445674586526337,-0.20649046965708368,-0.24500007167419935,-0.10661829165468513,-0.0743785751315857,-0.07942063181717562,-0.06457487845584008,-0.012223415024214366,-0.003532380002007976,-0.004801341426963586,-0.07445674586526337,-0.07445674586526337,0.07072211420190526
