stage,temp,age,change_prev,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10
94,22.0383941640412,1.29985,-0.659202117329562,23.7923002775141,22.2852214908522,21.8235547590984,21.102279033597,20.86667067058,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,0.33371983761335144,0.19685932882299906,0.1619029942138862,0.12726461768669037,0.13668632007296208,0.11893605486016193,0.05811903759265997,7.763904832322467e-4,-0.09820704538469643,-0.08003420504375483
93,23.7923002775141,3.9605,0.33371983761335383,22.2852214908522,21.8235547590984,21.102279033597,20.86667067058,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,0.08680393564986273,0.10754213910150875,0.08703112564338987,0.11510337943557467,0.0988394137670447,0.027050715519245174,-0.03730372110936539,-0.14884831634072745,-0.11545671803941254,-0.07177317785832589
92,22.2852214908522,8.4765,0.08680393564986462,21.8235547590984,21.102279033597,20.86667067058,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,0.12642869859796657,0.08085265524403969,0.12483166755384478,0.09874551204071429,0.002602920706365343,-0.07554601705447662,-0.2068775975045344,-0.1503062166388884,-0.09032567705187011,-0.06219205530362001
91,21.8235547590984,13.795,0.12642869859796757,21.102279033597,20.86667067058,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,0.038847215666446305,0.13854157681584328,0.09239762424880117,-0.04505781528367333,-0.13968301472370484,-0.2927914035580671,-0.19440448362841006,-0.11010539118728126,-0.0722353485897747,-0.055261414052908096
90,21.102279033597,19.5,0.038847215666447166,20.86667067058,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,0.2539306817681679,0.09659382350278105,-0.13016854116378082,-0.2403107205688831,-0.41104673680854453,-0.23990618579386644,-0.12230184835381229,-0.07346523254027557,-0.05293029068235384,-0.13823382269411044
89,20.86667067058,25.565,0.25393068176816974,19.48655741517,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,-0.08162251722852583,-0.39713900488408116,-0.4340836752258449,-0.5733753566005608,-0.2823536868530995,-0.12306866405402882,-0.06350074834163875,-0.041675828575649256,-0.14384048804093721,-0.18848170595508634
88,19.48655741517,31,-0.08162251722852465,19.8905888754512,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,-0.8619725741798904,-0.5760681387528608,-0.6817522729357256,-0.25195119921956594,-0.06292208467708538,-0.005924585276435298,0.0036076015141644955,-0.1274451015927768,-0.18170890496380873,-0.21658043213513745
87,19.8905888754512,35.95,-0.8619725741798937,23.0798873999168,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,-0.3793710736540822,-0.6741597946427392,-0.12341930348081354,0.07062196262048817,0.10414352433598476,0.0810563889810057,-0.09526439787438391,-0.1643098547082315,-0.20716955792268615,-0.20679035576984894
86,23.0798873999168,39.65,-0.37937107365408296,24.9388056608218,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,-0.846119881886123,0.06334654317347792,0.2607906683432579,0.2436356335837401,0.16053913047719015,-0.08566948354169784,-0.17192186880086227,-0.22234102984752915,-0.21945596672729697,-0.15957598711371215
85,24.9388056608218,44.55,-0.8461198818861234,31.1577867926848,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,28.531240573,1.0527383247369264,0.841953373314407,0.5429390709252615,0.2695240413714809,-0.1063820095984059,-0.21342162788599536,-0.26973273805416453,-0.25734548332434654,-0.17448683811831758,-0.021333516002116137
84,31.1577867926848,51.9,1.0527383247369293,23.893892352,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,28.531240573,17.8914211113,0.5183672916749996,0.16658012401209546,1.1111368399324824e-4,-0.3914968891085761,-0.45786283064224936,-0.4801597372439352,-0.4213106116820398,-0.2750657770344826,-0.060140639470462,0.01758921713698888
83,23.893892352,58.8,0.5183672916750027,21.302055893625,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,28.531240573,17.8914211113,20.2811080625,-0.16305147702381068,-0.1397676934331028,-0.5914923878783187,-0.624955715462816,-0.617988253513728,-0.5117126284523317,-0.3012533309885136,-0.032948339746887066,0.0506742543897661,0.09916940349305205
82,21.302055893625,63.8,-0.1630514770238094,22.158076148,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,28.531240573,17.8914211113,20.2811080625,18.31584539968,-0.1280349036363639,-0.7857043673618458,-0.7770239208907082,-0.7292490052511083,-0.5496865596301251,-0.25415791121675996,0.06325963596470417,0.13453058266904835,0.1742368540587427,0.1824302483072125
81,22.158076148,69.05,-0.12803490363636336,23.2847833,35.07854668372,35.07002589748,36.482364600033,33.838026777757,28.531240573,17.8914211113,20.2811080625,18.31584539968,19.36087923674,-1.661093434326752,-1.2429524569143262,-0.9564761530740497,-0.5357499406255279,-0.09391954841955397,0.24822389105099815,0.27225610739622486,0.28910855120638923,0.27808438162923643,0.22646016324629203
