phylum,class,order,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Mollusca,Gastropoda,Murchisoniina,Gosseletinidae,Abylea,41,305.35,1,20.92915189796,-0.37818297478608637,0.4437977336370341,-0.06706120086427633,-0.13426134297586018,-0.09753834710070071,-0.14057640370898866,-0.1202547698855696,-0.08166985038092575,-0.03425170593800438,-0.05329826642006509,-0.048966612552679784,NA,-0.006412534993368605,-0.019561416322574545
Mollusca,Gastropoda,Murchisoniina,Gosseletinidae,Abylea,40,311.1,0,23.10370400298,0.44379773363704855,-0.5997265904458543,-0.2901536976107863,-0.14902687648293497,-0.18154948970320087,-0.14321289374446533,-0.09156896055571097,-0.03360842322633319,-0.056329819709258926,-0.05074116369165604,-0.04632998256785788,NA,-0.004334582365451448,-0.019393907163355442
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,92,8.4765,1,22.2852214908522,0.08680393564986462,0.12642869859796657,0.08085265524403969,0.12483166755384478,0.09874551204071429,0.002602920706365343,-0.07554601705447662,-0.2068775975045344,-0.1503062166388884,-0.09032567705187011,-0.06219205530362001,-0.07554601705447662,-0.014694115186424104,-0.009745042626211602
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,91,13.795,0,21.8235547590984,0.12642869859796757,0.038847215666446305,0.13854157681584328,0.09239762424880117,-0.04505781528367333,-0.13968301472370484,-0.2927914035580671,-0.19440448362841006,-0.11010539118728126,-0.0722353485897747,-0.055261414052908096,-0.13968301472370484,-0.010540450845972781,-0.00913585768648103
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,90,19.5,0,21.102279033597,0.038847215666447166,0.2539306817681679,0.09659382350278105,-0.13016854116378082,-0.2403107205688831,-0.41104673680854453,-0.23990618579386644,-0.12230184835381229,-0.07346523254027557,-0.05293029068235384,-0.13823382269411044,-0.2403107205688831,-0.0033627353620320306,-0.00809412080966405
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,89,25.565,0,20.86667067058,0.25393068176816974,-0.08162251722852583,-0.39713900488408116,-0.4340836752258449,-0.5733753566005608,-0.2823536868530995,-0.12306866405402882,-0.06350074834163875,-0.041675828575649256,-0.14384048804093721,-0.18848170595508634,-0.4340836752258449,0.006553093835611548,-0.006780160814492081
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,88,31,0,19.48655741517,-0.08162251722852465,-0.8619725741798904,-0.5760681387528608,-0.6817522729357256,-0.25195119921956594,-0.06292208467708538,-0.005924585276435298,0.0036076015141644955,-0.1274451015927768,-0.18170890496380873,-0.21658043213513745,-0.5760681387528608,0.02334375865717219,-0.004577271553830876
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,87,35.95,0,19.8905888754512,-0.8619725741798937,-0.3793710736540822,-0.6741597946427392,-0.12341930348081354,0.07062196262048817,0.10414352433598476,0.0810563889810057,-0.09526439787438391,-0.1643098547082315,-0.20716955792268615,-0.20679035576984894,-0.3793710736540822,0.04445878386256054,-0.0022451425384291948
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,86,39.65,0,23.0798873999168,-0.37937107365408296,-0.846119881886123,0.06334654317347792,0.2607906683432579,0.2436356335837401,0.16053913047719015,-0.08566948354169784,-0.17192186880086227,-0.22234102984752915,-0.21945596672729697,-0.15957598711371215,NA,0.06261467011500074,-0.001301985144624723
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia,85,44.55,0,24.9388056608218,-0.8461198818861234,1.0527383247369264,0.841953373314407,0.5429390709252615,0.2695240413714809,-0.1063820095984059,-0.21342162788599536,-0.26973273805416453,-0.25734548332434654,-0.17448683811831758,-0.021333516002116137,NA,0.08010221821179415,-0.0013037657829072578
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia (Acamptogenotia),88,31,1,19.48655741517,-0.08162251722852465,-0.8619725741798904,-0.5760681387528608,-0.6817522729357256,-0.25195119921956594,-0.06292208467708538,-0.005924585276435298,0.0036076015141644955,-0.1274451015927768,-0.18170890496380873,-0.21658043213513745,-0.5760681387528608,0.02334375865717219,-0.004577271553830876
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia (Acamptogenotia),87,35.95,0,19.8905888754512,-0.8619725741798937,-0.3793710736540822,-0.6741597946427392,-0.12341930348081354,0.07062196262048817,0.10414352433598476,0.0810563889810057,-0.09526439787438391,-0.1643098547082315,-0.20716955792268615,-0.20679035576984894,-0.3793710736540822,0.04445878386256054,-0.0022451425384291948
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia (Acamptogenotia),86,39.65,0,23.0798873999168,-0.37937107365408296,-0.846119881886123,0.06334654317347792,0.2607906683432579,0.2436356335837401,0.16053913047719015,-0.08566948354169784,-0.17192186880086227,-0.22234102984752915,-0.21945596672729697,-0.15957598711371215,NA,0.06261467011500074,-0.001301985144624723
Mollusca,Gastropoda,Neogastropoda,Turridae,Acamptogenotia (Acamptogenotia),85,44.55,0,24.9388056608218,-0.8461198818861234,1.0527383247369264,0.841953373314407,0.5429390709252615,0.2695240413714809,-0.1063820095984059,-0.21342162788599536,-0.26973273805416453,-0.25734548332434654,-0.17448683811831758,-0.021333516002116137,NA,0.08010221821179415,-0.0013037657829072578
