Taxon,Interaction,Estimate,Std. Error,Pr(>|z|),AIC,BIC
Arthropoda,change_prev:trend.st2,1.5016618820799985,0.046655024087253055,2.726881302096451e-227,31470.71108016681,31511.940256923455
Bivalvia,change_prev:trend.st4,0.6351291216113597,0.16559868476555764,1.2538497677581077e-4,8644.938172543569,8681.793661297841
Cnidaria,change_prev:trend.st4,-0.8778279491983838,0.1281522341316657,7.390985119746717e-12,7732.342645331781,7768.337525541267
Echinodermata,change_prev:trend.st9,-1.0399007868537913,0.1677759370234122,5.712989661512077e-10,3980.9001435545324,4013.0430462198306
Foraminifera,change_prev:trend.st2,1.150162374538356,0.19329436633633867,2.676268576501237e-9,2481.2224966704707,2510.382567572998
Gastropoda,change_prev:trend.st5,-0.48735231033230564,0.13545277980982232,3.20735427713929e-4,6440.686526893967,6476.005579790369
Mammalia,change_prev:trend.st10,7.2730078434048995,0.8663247042178451,4.6492513306555107e-17,2964.8175134245066,2993.649597914605
Reptilia,change_prev:trend.st3,2.5583120378077044,0.20827781012355098,1.1153859100658434e-34,5542.684952761545,5575.018661001146
