taxon,type,aic_int,bic_int,aic_sonly,bic_sonly
Bivalvia,sqs,3638.104842220147,3672.157886198726,3666.3803568107523,3700.4497796008804
Bivalvia,cr,4904.2867447455565,4939.333370609232,4934.476392310433,4969.5419333226655
Reptilia,sqs,2503.122187565875,2532.0257919964642,2559.2297118283095,2588.133316258899
Reptilia,cr,2164.8167170004285,2192.9908203891564,2206.5923678688378,2234.7664712575656
