taxon,aic_int,bic_int,aic_sonly,bic_sonly
Arthropoda,31470.71108016681,31511.940256923455,32889.17471843559,32930.46792513611
Bivalvia,8644.938172543569,8681.793661297841,8697.572630654075,8734.44851372622
Cnidaria,7732.342645331781,7768.337525541267,7766.420431037762,7802.419860608124
Echinodermata,3980.9001435545324,4013.0430462198306,4013.805839173404,4045.9835851852827
Foraminifera,2481.2224966704707,2510.382567572998,2518.300954300827,2547.4610252033544
Gastropoda,6440.686526893967,6476.005579790369,6474.5089151315115,6509.8608571892555
Mammalia,2964.8175134245066,2993.649597914605,2913.807431446303,2942.639515936401
Reptilia,5542.684952761545,5575.018661001146,5685.355844784758,5717.689553024359
