"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"8208" "Chordata" "Aves" "Phasianidae" "Phasianus" 30.8 0 88 94
"8217" "Chordata" "Aves" "Diomedeidae" "Phoebastria" 15.97 0 91 94
"8249" "Chordata" "Aves" "Phoenicopteridae" "Phoenicoparrus" 15.97 0.0117 91 94
"8251" "Chordata" "Aves" "Phoenicopteridae" "Phoenicopterus" 15.97 0 91 94
"8282" "Chordata" "Aves" "Phorusrhacidae" "Phorusrhacos" 23.03 11.608 90 92
"8299" "Chordata" "Aves" "Corvidae" "Pica" 3.6 0 93 94
"8326" "Chordata" "Aves" "Picidae" "Picus" 11.608 0.0117 92 94
"8332" "Chordata" "Ornithischia" "Ankylosauridae" "Pinacosaurus" 145 66 70 81
"8348" "Chordata" "Aves" "Alcidae" "Pinguinus" 5.333 0 93 94
"8519" "Chordata" "Saurischia" "Plateosauridae" "Plateosaurus" 237 199.3 56 59
"8579" "Chordata" "Aves" "Cathartidae" "Plesiocathartes" 48.6 28.4 84 88
"8585" "Chordata" "Aves" "Cathartidae" "Pliogyps" 13.6 1.8 91 94
"8589" "Chordata" "Aves" "Plotopteridae" "Plotopterum" 28.1 15.97 89 90
"8627" "Chordata" "Aves" "Podicipedidae" "Podiceps" 15.97 0 91 94
"8687" "Chordata" "Aves" "Podicipedidae" "Podilymbus" 4.9 0 93 94
"8727" "Chordata" "Ornithischia" "Nodosauridae" "Polacanthus" 145 99.6 70 76
"8742" "Chordata" "Saurischia" "Elongatoolithidae" "Porituberoolithus" 83.5 70.6 80 81
"8750" "Chordata" "Aves" "Rallidae" "Porphyrio" 4.9 0 93 94
"8802" "Chordata" "Aves" "Rallidae" "Porzana" 3.6 0 93 94
"8867" "Chordata" "Ornithischia" "Pachycephalosauridae" "Prenocephale" 83.6 66 80 81
"8876" "Chordata" "Ornithischia" "Leptoceratopsidae" "Prenoceratops" 83.6 70.6 80 81
"8878" "Chordata" "Reptilia" "Prismatoolithidae" "Preprismatoolithus" 157.3 145 68 69
"8885" "Chordata" "Aves" "Anatidae" "Presbychen" 15.97 5.333 91 92
"8889" "Chordata" "Aves" "Presbyornithidae" "Presbyornis" 58.7 33.9 83 87
"8900" "Chordata" "Reptilia" "Prismatoolithidae" "Prismatoolithus" 100.5 66 76 81
"8922" "Chordata" "Aves" "Procellariidae" "Procellaria" 5.333 0 93 94
"8925" "Chordata" "Aves" "Accipitridae" "Promilio" 24.8 15.97 89 90
"8927" "Chordata" "Ornithischia" "Hadrosauridae" "Prosaurolophus" 85.8 66 79 81
"8976" "Chordata" "Reptilia" "Prismatoolithidae" "Protoceratopsidovum" 83.6 70.6 80 81
"8984" "Chordata" "Aves" "Corvidae" "Protocitta" 4.9 0.0117 93 94
"8987" "Chordata" "Aves" "Anatidae" "Protomelanitta" 15.97 10.3 91 92
"8991" "Chordata" "Aves" "Protostrigidae" "Protostrix" 50.3 40.4 84 86
"8994" "Chordata" "Aves" "Prunellidae" "Prunella" 3.6 0.0117 93 94
"9031" "Chordata" "Aves" "Phorusrhacidae" "Psilopterus" 23.03 9 90 92
"9038" "Chordata" "Ornithischia" "Psittacosauridae" "Psittacosaurus" 145 66 70 81
"9106" "Chordata" "Aves" "Procellariidae" "Pterodroma" 5.333 0 93 94
"9235" "Chordata" "Aves" "Alcidae" "Ptychoramphus" 4.9 0 93 94
"9257" "Chordata" "Aves" "Procellariidae" "Puffinus" 23.03 0 90 94
"9386" "Chordata" "Aves" "Spheniscidae" "Pygoscelis" 15.97 0 91 94
"9445" "Chordata" "Aves" "Anatidae" "Querquedula" 20.43 0.0117 90 94
"9461" "Chordata" "Aves" "Rallidae" "Rallus" 13.65 0 91 94
"9506" "Chordata" "Saurischia" "Rebbachisauridae" "Rebbachisaurus" 113 93.5 75 77
"9510" "Chordata" "Aves" "Recurvirostridae" "Recurvirostra" 15.97 0 91 94
"9520" "Chordata" "Ornithischia" "Rhabdodontidae" "Rhabdodon" 83.6 66 80 81
"9551" "Chordata" "Aves" "Rheidae" "Rhea" 23.03 0 90 94
"9569" "Chordata" "Saurischia" "Dromaeosauridae" "Richardoestesia" 130 66 73 81
"9685" "Chordata" "Saurischia" "Riojasauridae" "Riojasaurus" 228 208.5 57 58
"9689" "Chordata" "Aves" "Laridae" "Rissa" 4.9 0 93 94
"9698" "Chordata" "Ornithischia" "Ankylosauridae" "Saichania" 83.6 70.6 80 81
"9720" "Chordata" "Ornithischia" "Hadrosauridae" "Saurolophus" 83.6 66 80 81
"9740" "Chordata" "Ornithischia" "Nodosauridae" "Sauropelta" 125 100.5 74 75
"9765" "Chordata" "Saurischia" "Sauropodidae" "Sauropus" 228 190.8 57 60
"9771" "Chordata" "Saurischia" "Troodontidae" "Saurornithoides" 83.6 66 80 81
"9774" "Chordata" "Saurischia" "Dromaeosauridae" "Saurornitholestes" 85.8 66 79 81
"9904" "Chordata" "Aves" "Alexornithidae" "Sazavis" 93.5 89.3 77 78
"9916" "Chordata" "Aves" "Scolopacidae" "Scolopax" 4.9 0 93 94
"9953" "Chordata" "Ornithischia" "Ankylosauridae" "Scolosaurus" 83.6 70.6 80 81
"9957" "Chordata" "Aves" "Scopidae" "Scopus" 5.333 0 93 94
"9962" "Chordata" "Ornithischia" "Hadrosauridae" "Secernosaurus" 83.6 66 80 81
"9965" "Chordata" "Saurischia" "Therizinosauridae" "Segnosaurus" 100.5 70.6 76 81
"9978" "Chordata" "Ornithischia" "Ankylosauridae" "Shamosaurus" 125 100.5 74 75
"10000" "Chordata" "Saurischia" "Troodontidae" "Sinornithoides" 139.8 100.5 70 75
"10002" "Chordata" "Saurischia" "Dromaeosauridae" "Sinornithosaurus" 130 122.46 73 74
"10026" "Chordata" "Aves" "Anatidae" "Somateria" 5.333 0 93 94
"10035" "Chordata" "Aves" "Anatidae" "Spatula" 5.333 0 93 94
"10079" "Chordata" "Saurischia" "Faveoloolithidae" "Sphaerovum" 125 66 74 81
"10086" "Chordata" "Aves" "Spheniscidae" "Spheniscus" 23.03 0 90 94
"10103" "Chordata" "Ornithischia" "Spheroolithidae" "Spheroolithus" 100.5 66 76 81
"10140" "Chordata" "Saurischia" "Parachirotheriidae" "Sphingopus" 247.2 237 53 55
"10162" "Chordata" "Saurischia" "Spinosauridae" "Spinosaurus" 125 70.6 74 81
"10179" "Chordata" "Aves" "Accipitridae" "Spizaetus" 4.9 0 93 94
"10192" "Chordata" "Ornithischia" "Pachycephalosauridae" "Stegoceras" 83.6 66 80 81
"10229" "Chordata" "Ornithischia" "Stegosauridae" "Stegosaurus" 163.5 100.5 67 75
"10293" "Chordata" "Aves" "Stercorariidae" "Stercorarius" 5.333 0 93 94
"10306" "Chordata" "Aves" "Laridae" "Sterna" 4.9 0 93 94
"10336" "Chordata" "Aves" "Columbidae" "Streptopelia" 3.6 0 93 94
"10354" "Chordata" "Aves" "Strigidae" "Strix" 20.43 0 90 94
"10377" "Chordata" "Aves" "Struthionidae" "Struthio" 13.82 0 91 94
"10448" "Chordata" "Saurischia" "Ornithomimidae" "Struthiomimus" 83.6 66 80 81
"10459" "Chordata" "Ornithischia" "Nodosauridae" "Struthiosaurus" 83.5 66 80 81
"10504" "Chordata" "Ornithischia" "Ceratopsidae" "Styracosaurus" 83.5 70.6 80 81
"10517" "Chordata" "Saurischia" "Spinosauridae" "Suchomimus" 125 100.5 74 75
"10519" "Chordata" "Aves" "Sulidae" "Sula" 23.03 0 90 94
"10587" "Chordata" "Saurischia" "Diplodocidae" "Supersaurus" 157.3 145 68 69
"10591" "Chordata" "Aves" "Strigidae" "Surnia" 3.2 0.0117 93 94
"10597" "Chordata" "Saurischia" "Therizinosauridae" "Suzhousaurus" 129.4 113 73 74
"10618" "Chordata" "Aves" "Alcidae" "Synthliboramphus" 5.333 0 93 94
"10678" "Chordata" "Ornithischia" "Ankylosauridae" "Talarurus" 100.5 83.6 76 79
"10684" "Chordata" "Saurischia" "Tyrannosauridae" "Tarbosaurus" 83.6 66 80 81
"10726" "Chordata" "Ornithischia" "Ankylosauridae" "Tarchia" 83.6 66 80 81
"10823" "Chordata" "Saurischia" "Tyrannosauridae" "Teratophoneus" 83.5 70.6 80 81
"10834" "Chordata" "Aves" "Tetraonidae" "Tetrao" 5.333 0 93 94
"10845" "Chordata" "Ornithischia" "Tetrapodosauridae" "Tetrapodosaurus" 125 93.9 74 76
"10966" "Chordata" "Saurischia" "Mamenchisauridae" "Tienshanosaurus" 163.5 145 67 69
"10972" "Chordata" "Aves" "Phorusrhacidae" "Titanis" 4.9 0.781 93 94
"11018" "Chordata" "Aves" "Plotopteridae" "Tonsala" 41.3 23.03 85 89
"11022" "Chordata" "Saurischia" "Diplodocidae" "Tornieria" 155.7 145 68 69
"11034" "Chordata" "Saurischia" "Megalosauridae" "Torvosaurus" 163.5 145 67 69
"11050" "Chordata" "Saurischia" "Elongatoolithidae" "Trachoolithus" 125 66 74 81
"11060" "Chordata" "Ornithischia" "Ceratopsidae" "Triceratops" 83.5 66 80 81
"11171" "Chordata" "Aves" "Scolopacidae" "Tringa" 4.9 0 93 94
"11212" "Chordata" "Saurischia" "Troodontidae" "Troodon" 85.8 66 79 81
"11309" "Chordata" "Ornithischia" "Ankylosauridae" "Tsagantegia" 100.5 83.6 76 79
"11314" "Chordata" "Aves" "Turdidae" "Turdus" 4.9 0 93 94
"11388" "Chordata" "Aves" "Turnicidae" "Turnix" 5.333 0 93 94
"11411" "Chordata" "Aves" "Phasianidae" "Tympanuchus" 20.43 0 90 94
"11427" "Chordata" "Saurischia" "Tyrannosauridae" "Tyrannosaurus" 83.6 66 80 81
"11501" "Chordata" "Aves" "Tytonidae" "Tyto" 13.65 0 91 94
"11607" "Chordata" "Aves" "Picidae" "Uintornis" 48.6 37.2 84 87
"11609" "Chordata" "Saurischia" "Dromaeosauridae" "Unenlagia" 93.5 85.8 77 79
"11615" "Chordata" "Aves" "Alcidae" "Uria" 11.62 0 92 94
"11670" "Chordata" "Saurischia" "Dromaeosauridae" "Utahraptor" 129.4 122.46 73 74
"11672" "Chordata" "Ornithischia" "Dryosauridae" "Valdosaurus" 145 100.5 70 75
"11676" "Chordata" "Aves" "Charadriidae" "Vanellus" 15.97 0 91 94
"11685" "Chordata" "Saurischia" "Dromaeosauridae" "Velociraptor" 83.6 70.6 80 81
"11699" "Chordata" "Saurischia" "Dromaeopodidae" "Velociraptorichnus" 129.4 70.6 73 81
"11739" "Chordata" "Aves" "Cathartidae" "Vultur" 6.8 0.0117 92 94
"11761" "Chordata" "Saurischia" "Metriacanthosauridae" "Yangchuanosaurus" 170.3 145 64 69
"11768" "Chordata" "Aves" "Hongshanornithidae" "Yanornis" 129.4 113 73 74
"11781" "Chordata" "Ornithischia" "Rhabdodontidae" "Zalmoxes" 83.5 66 80 81
"11878" "Chordata" "Aves" "Alexornithidae" "Zhyraornis" 99.6 89.3 76 78
