"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"383" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Satorina" 167.4 160.2 65 67
"384" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Steinekella" 164.9 157.3 66 67
"385" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Pfenderella" 170.3 163.5 64 66
"386" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Conicokurnubia" 167.4 152.1 65 68
"387" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Kurnubia" 170.3 149.2 64 69
"388" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Praekurnubia" 168.3 160.2 65 67
"389" "Textulariida" "Pfenderinoidea" "Valvulinidae" "Kilianina" 168.3 152.1 65 68
"390" "Textulariida" "Pfenderinoidea" "Valvulinidae" "Valvulina" 190.8 0 61 94
"391" "Textulariida" "Pfenderinoidea" "Valvulinidae" "Parurgonina" 160.2 145 67 69
"393" "Textulariida" "Loftusioidea" "Choffatellidae" "Balkhania" 130.8 113 73 74
"394" "Textulariida" "Loftusioidea" "Choffatellidae" "Broeckinella" 86.3 66 79 81
"395" "Textulariida" "Loftusioidea" "Choffatellidae" "Pseudochoffatella" 126.3 100.5 74 75
"396" "Textulariida" "Loftusioidea" "Choffatellidae" "Alveosepta" 163.5 152.1 67 68
"397" "Textulariida" "Loftusioidea" "Choffatellidae" "Choffatella" 163.5 83.6 67 79
"398" "Textulariida" "Loftusioidea" "Choffatellidae" "Feurtillia" 152.1 133.9 69 71
"400" "Textulariida" "Loftusioidea" "Choffatellidae" "Pseudocyclammina" 190.8 69.2 61 81
"401" "Textulariida" "Loftusioidea" "Choffatellidae" "Redmondellina" 168.3 152.1 65 68
"402" "Textulariida" "Loftusioidea" "Choffatellidae" "Torinosuella" 163.5 126.3 67 73
"403" "Textulariida" "Loftusioidea" "Loftusiidae" "Feurtillia" 152.1 133.9 69 71
"405" "Textulariida" "Loftusioidea" "Loftusiidae" "Reticulinella" 100.5 66 76 81
"406" "Textulariida" "Loftusioidea" "Loftusiidae" "Loftusia" 72.1 33.9 81 87
"407" "Textulariida" "Loftusioidea" "Mesoendothyridae" "Wernlina" 232.2 216.6 56 57
"408" "Textulariida" "Lituoloidea" "Everticyclamminidae" "Hemicyclammina" 119.3 98.6 74 76
"410" "Textulariida" "Lituoloidea" "Everticyclamminidae" "Everticyclammina" 195 113 60 74
"411" "Textulariida" "Lituoloidea" "Everticyclamminidae" "Buccicrenata" 157.3 93.9 68 76
"412" "Textulariida" "Lituoloidea" "Everticyclamminidae" "Rectocyclammina" 190.8 142.8 61 70
"413" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Mesoendothyra" 241.5 152.1 55 68
"414" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Cyclorbitopsella" 193.8 174.1 60 62
"415" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Lituosepta" 193.8 170.3 60 63
"416" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Orbitopsella" 193.8 182.7 60 61
"419" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Labyrinthina" 163.5 145 67 69
"420" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Orbitammina" 169.1 166.1 64 65
"421" "Textulariida" "Lituoloidea" "Mesoendothyridae" "Levantinella" 163.5 152.1 67 68
"424" "Textulariida" "Textularioidea" "Chrysalidinidae" "Pfendericonus" 59.2 33.9 83 87
"425" "Textulariida" "Textularioidea" "Chrysalidinidae" "Pseudochrysalidina" 56 33.9 84 87
"426" "Textulariida" "Textularioidea" "Chrysalidinidae" "Vacuovalvulina" 66 56 82 83
"427" "Textulariida" "Textularioidea" "Chrysalidinidae" "Accordiella" 89.8 83.6 78 79
"428" "Textulariida" "Textularioidea" "Chrysalidinidae" "Chrysalidina" 126.3 93.9 74 76
"429" "Textulariida" "Textularioidea" "Chrysalidinidae" "Dukhania" 133.9 109.4 72 75
"430" "Textulariida" "Textularioidea" "Chrysalidinidae" "Praechrysalidina" 133.9 100.5 72 75
"431" "Textulariida" "Textularioidea" "Chrysalidinidae" "Paravalvulina" 168.3 130.8 65 72
"432" "Textulariida" "Textularioidea" "Chrysalidinidae" "Pseudomarssonella" 168.3 163.5 65 66
"433" "Textulariida" "Textularioidea" "Chrysalidinidae" "Redmondoides" 170.3 152.1 64 68
"434" "Textulariida" "Textularioidea" "Chrysalidinidae" "Riyadhella" 199.3 152.1 60 68
"435" "Textulariida" "Textularioidea" "Chrysalidinidae" "Riyadhoides" 169.1 145 64 69
"436" "Textulariida" "Coscinophragmatoidea" "Haddoniidae" "Haddonia" 66 0 82 94
"437" "Textulariida" "Coscinophragmatoidea" "Coscinophragmatidae" "Alpinophragmium" 237 201.3 56 58
"438" "Textulariida" "Coskinolinoidea" "Coskinolinidae" "Barattolites" 56 37.8 84 86
"439" "Textulariida" "Coskinolinoidea" "Coskinolinidae" "Coleiconus" 56 37.8 84 86
"440" "Textulariida" "Coskinolinoidea" "Coskinolinidae" "Coskinolina" 66 37.8 82 86
"441" "Textulariida" "Coskinolinoidea" "Coskinolinidae" "Coskinon" 61.6 37.8 83 86
"443" "Textulariida" "Coskinolinoidea" "Coskinolinidae" "Pseudolituonella" 100.5 72.1 76 80
"444" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Anatoliella" 66 56 82 83
"445" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Cushmania" 47.8 37.8 85 86
"446" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Daviesiconus" 56 37.8 84 86
"447" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Dictyoconus" 126.3 23.03 74 89
"451" "Textulariida" "Nezzazatoidea" "Nezzazatidae" "Nezzazata" 113 89.8 75 77
"452" "Textulariida" "Nezzazatoidea" "Nezzazatidae" "Nezzazatinella" 130.8 89.8 73 77
"454" "Textulariida" "Nezzazatoidea" "Nezzazatidae" "Coxites" 96.1 92.1 76 77
"458" "Textulariida" "Nezzazatoidea" "Mayncinidae" "Mayncina" 139.4 93.9 71 76
"461" "Textulariida" "Nezzazatoidea" "Mayncinidae" "Daxia" 157.3 93.9 68 76
"462" "Textulariida" "Nezzazatoidea" "Mayncinidae" "Freixialina" 170.3 145 64 69
"464" "Textulariida" "Biokovinoidea" "Biokovinidae" "Bosniella" 193.8 187.6 60 61
"465" "Textulariida" "Biokovinoidea" "Charentiidae" "Charentia" 130.8 93.9 73 76
"466" "Textulariida" "Biokovinoidea" "Charentiidae" "Debarina" 128.2 113 73 74
"468" "Textulariida" "Biokovinoidea" "Lituoliporidae" "Lituolipora" 199.3 182.7 60 61
"469" "Textulariida" "Cyclolinoidea" "Cyclolinidae" "Cyclopsinella" 100.5 83.6 76 79
"470" "Textulariida" "Cyclolinoidea" "Cyclolinidae" "Cyclopsinella" 157.3 89.8 68 77
"471" "Textulariida" "Cyclolinoidea" "Cyclolinidae" "Dohaia" 100.5 89.8 76 77
"472" "Textulariida" "Cyclolinoidea" "Cyclolinidae" "Eclusia" 139.4 126.3 71 73
"473" "Textulariida" "Verneuilinoidea" "Verneuilinidae" "Duotaxis" 241.5 182.7 55 61
"475" "Textulariida" "Spiroplectamminoidea" "Textulariopsidae" "Textulariopsis" 199.3 66 60 81
"476" "Textulariida" "Ammodiscoidea" "Ammodiscidae" "Gandinella" 250 201.3 53 58
"477" "Textulariida" "Ammodiscoidea" "Ammodiscidae" "Glomospira" 346.7 0 37 94
"478" "Textulariida" "Ammodiscoidea" "Ammodiscidae" "Glomospirella" 323.2 5.333 39 92
"480" "Textulariida" "Ammodiscoidea" "Ammodiscidae" "Pilammina" 252.2 241.5 52 54
"481" "Textulariida" "Ammodiscoidea" "Ammodiscidae" "Pilamminella" 247.1 228.4 54 56
"482" "Involutinida" "Involutinoidea" "Involutinidae" "Andersenolina" 168.3 113 65 74
"483" "Involutinida" "Involutinoidea" "Involutinidae" "Involutina" 228.4 93.9 57 76
"484" "Involutinida" "Involutinoidea" "Involutinidae" "Neotrocholina" 168.3 93.9 65 76
"485" "Involutinida" "Involutinoidea" "Involutinidae" "Septatrocholina" 168.3 157.3 65 67
"486" "Involutinida" "Involutinoidea" "Involutinidae" "Trocholina" 228.4 93.9 57 76
"487" "Involutinida" "Involutinoidea" "Involutinidae" "Aulosina" 228.4 201.3 57 58
"488" "Involutinida" "Involutinoidea" "Involutinidae" "Parvalamella" 239.2 201.3 55 58
"489" "Involutinida" "Involutinoidea" "Involutinidae" "Semiinvoluta" 228.4 201.3 57 58
"490" "Involutinida" "Involutinoidea" "Ventrolaminidae" "Protopeneroplis" 174.1 139.4 63 70
"491" "Involutinida" "Involutinoidea" "Triadodiscidae" "Lamelliconus" 241.5 228.4 55 56
"492" "Involutinida" "Involutinoidea" "Triadodiscidae" "Triadodiscus" 250 209.5 53 57
"493" "Involutinida" "Involutinoidea" "Aulotortidae" "Angulodiscus" 228.4 201.3 57 58
"494" "Involutinida" "Involutinoidea" "Aulotortidae" "Auloconus" 228.4 201.3 57 58
"495" "Involutinida" "Involutinoidea" "Aulotortidae" "Aulotortus" 247.1 163.5 54 66
"496" "Involutinida" "Involutinoidea" "Triasinidae" "Triasina" 228.4 201.3 57 58
"497" "Lagenida" "Duostominoidea" "Duostominidae" "Duostomina" 247.1 201.3 54 58
"499" "Lagenida" "Geinitzinoidea" "Abriolinidae" "Abriolina" 247.1 237 54 55
"500" "Lagenida" "Geinitzinoidea" "Geinitzinidae" "Geinitzina" 298.9 252.2 43 51
"502" "Lagenida" "Geinitzinoidea" "Geinitzinidae" "Nodosinelloides" 307 201.3 41 58
"503" "Lagenida" "Geinitzinoidea" "Pachyphloiidae" "Pachyphloia" 295.5 252.2 44 51
"504" "Lagenida" "Robuloidoidea" "Ichtyolariidae" "Austrocolomia" 247.1 201.3 54 58
"505" "Lagenida" "Robuloidoidea" "Ichtyolariidae" "Cryptoseptida" 293.6 228.4 44 56
"506" "Lagenida" "Robuloidoidea" "Ichtyolariidae" "Grillina" 237 201.3 56 58
"507" "Lagenida" "Robuloidoidea" "Ichtyolariidae" "Pseudotristix" 259.8 252.2 50 51
"508" "Lagenida" "Robuloidoidea" "Robuloididae" "Calvezina" 259.8 252.2 50 51
"509" "Lagenida" "Robuloidoidea" "Robuloididae" "Eocristellaria" 259.8 252.2 50 51
"510" "Lagenida" "Robuloidoidea" "Robuloididae" "Robuloides" 290.1 237 45 55
"511" "Lagenida" "Robuloidoidea" "Robuloididae" "Robuloides" 272.3 237 47 55
"512" "Lagenida" "Robuloidoidea" "Syzraniidae" "Amphoratheka" 303.7 290.1 42 44
"514" "Lagenida" "Robuloidoidea" "Syzraniidae" "Syzrania" 315.2 201.3 40 58
"515" "Lagenida" "Robuloidoidea" "Syzraniidae" "Tezaquina" 311 201.3 40 58
"516" "Lagenida" "Robuloidoidea" "Syzraniidae" "Tuborecta" 423 410.8 28 29
"517" "Lagenida" "Robuloidoidea" "Protonodosariidae" "Protonodosaria" 307 201.3 41 58
"519" "Lagenida" "Nodosinelloidea" "Earlandinitidae" "Earlandinita" 358.9 298.9 36 42
"520" "Lagenida" "Nodosinelloidea" "Earlandinitidae" "Lugtonia" 358.9 298.9 36 42
"521" "Lagenida" "Nodosinelloidea" "Nodosinellidae" "Biparietata" 272.3 259.8 47 49
"522" "Lagenida" "Colanielloidea" "Colaniellidae" "Colaniella" 259.8 252.2 50 51
"523" "Lagenida" "Colanielloidea" "Colaniellidae" "Cylindrocolaniella" 259.8 252.2 50 51
"524" "Lagenida" "Colanielloidea" "Colaniellidae" "Pseudowanganella" 259.8 252.2 50 51
"525" "Earlandiida" "Earlandioidea" "Earlandiidae" "Earlandia" 427.4 252.2 26 51
"526" "Earlandiida" "Earlandioidea" "Earlandiidae" "Aeolisaccus" 259.8 252.2 50 51
"528" "Earlandiida" "Earlandioidea" "Endotebidae" "Endoteba" 275.6 201.3 46 58
"529" "Earlandiida" "Earlandioidea" "Pseudoammodiscidae" "Brunsia" 419.2 346.7 29 36
"530" "Earlandiida" "Earlandioidea" "Pseudoammodiscidae" "Brunsiella" 346.7 272.3 37 46
"531" "Earlandiida" "Earlandioidea" "Pseudolituotubidae" "Pseudolituotuba" 346.7 307 37 40
"532" "Earlandiida" "Caligelloidea" "Caligellidae" "Paracaligella" 419.2 346.7 29 36
"533" "Earlandiida" "Caligelloidea" "Paratikhinellidae" "Paratikhinella" 382.7 323.2 34 38
"534" "Earlandiida" "Caligelloidea" "Paratikhinellidae" "Saccaminopsis" 382.7 346.7 34 36
"535" "Earlandiida" "Ptychocladioidea" "Ptychocladiidae" "Ptychocladia" 307 298.9 41 42
"536" "Endothyrida" "Endothyroidea" "Endotebidae" "Endoteba" 275.6 201.3 46 58
"537" "Endothyrida" "Endothyroidea" "Endotebidae" "Endotebanella" 248.2 237 53 55
"540" "Endothyrida" "Endothyroidea" "Endothyridae" "Corrigotubella" 351 339.5 36 37
"544" "Endothyrida" "Endothyroidea" "Endothyridae" "Endostaffella" 351 330.9 36 37
"545" "Endothyrida" "Endothyroidea" "Endothyridae" "Endothyra" 358.9 252.2 36 51
"546" "Endothyrida" "Endothyroidea" "Endothyridae" "Endothyranella" 315.2 237 40 55
"548" "Endothyrida" "Endothyroidea" "Endothyridae" "Eoendothyra" 372.2 330.9 35 37
"550" "Endothyrida" "Endothyroidea" "Endothyridae" "Eoquasiendothyra" 382.7 346.7 34 36
"551" "Endothyrida" "Endothyroidea" "Endothyridae" "Euxinita" 346.7 315.2 37 39
"553" "Endothyrida" "Endothyroidea" "Endothyridae" "Globoendothyra" 346.7 307 37 40
"554" "Endothyrida" "Endothyroidea" "Endothyridae" "Granuliferella" 372.2 330.9 35 37
"560" "Endothyrida" "Endothyroidea" "Endothyridae" "Latiendothyra" 351 339.5 36 37
"561" "Endothyrida" "Endothyroidea" "Endothyridae" "Latiendothyranopsis" 351 339.5 36 37
"562" "Endothyrida" "Endothyroidea" "Endothyridae" "Laxoendothyra" 358.9 330.9 36 37
"563" "Endothyrida" "Endothyroidea" "Endothyridae" "Mediopsis" 351 330.9 36 37
"567" "Endothyrida" "Endothyroidea" "Endothyridae" "Omphalotis" 342.9 318.3 37 39
"570" "Endothyrida" "Endothyroidea" "Endothyridae" "Paraplectogyra" 351 339.5 36 37
"571" "Endothyrida" "Endothyroidea" "Endothyridae" "Planoendothyra" 346.7 315.2 37 39
"572" "Endothyrida" "Endothyroidea" "Endothyridae" "Plectogyra" 382.7 252.2 34 51
"573" "Endothyrida" "Endothyroidea" "Endothyridae" "Plectogyranopsis" 346.7 318.3 37 39
"575" "Endothyrida" "Endothyroidea" "Endothyridae" "Priscella" 358.9 315.2 36 39
"576" "Endothyrida" "Endothyroidea" "Endothyridae" "Quasiendothyra" 372.2 346.7 35 36
"580" "Endothyrida" "Endothyroidea" "Endothyridae" "Spinoendothyra" 351 339.5 36 37
"581" "Endothyrida" "Endothyroidea" "Endothyridae" "Spinothyra" 342.9 318.3 37 39
"583" "Endothyrida" "Endothyroidea" "Endothyridae" "Tuberendothyra" 351 339.5 36 37
"584" "Endothyrida" "Endothyroidea" "Endothyridae" "Urbanella" 358.9 339.5 36 37
"585" "Endothyrida" "Endothyroidea" "Endothyridae" "Zellerinella" 339.5 318.3 37 39
"586" "Endothyrida" "Endothyroidea" "Endotriadidae" "Endotriada" 247.1 209.5 54 57
"587" "Endothyrida" "Endothyroidea" "Endotriadidae" "Endotriadella" 247.1 209.5 54 57
"589" "Endothyrida" "Endothyroidea" "Bradyinidae" "Bradyina" 358.9 298.9 36 42
"590" "Endothyrida" "Endothyroidea" "Bradyinidae" "Glyphostomella" 307 252.2 41 51
"596" "Endothyrida" "Endothyroidea" "Loeblichiidae" "Novella" 323.2 310.3 39 40
"598" "Parathuramminida" "Parathuramminoidea" "Archaesphaeridae" "Archaesphaera" 419.2 346.7 29 36
"599" "Parathuramminida" "Parathuramminoidea" "Archaesphaeridae" "Diplosphaerina" 393.3 346.7 32 36
"600" "Parathuramminida" "Parathuramminoidea" "Parathuramminidae" "Parathurammina" 427.4 346.7 26 36
"601" "Parathuramminida" "Parathuramminoidea" "Chrysothuramminidae" "Chrysothurammina" 393.3 346.7 32 36
"602" "Parathuramminida" "Parathuramminoidea" "Ivanovellidae" "Elenella" 427.4 346.7 26 36
"603" "Parathuramminida" "Parathuramminoidea" "Marginaridae" "Marginara" 393.3 382.7 32 33
"605" "Parathuramminida" "Parathuramminoidea" "Uralinellidae" "Uralinella" 387.7 346.7 33 36
"606" "Parathuramminida" "Parathuramminoidea" "Auroriidae" "Auroria" 393.3 358.9 32 35
"607" "Parathuramminida" "Parathuramminoidea" "Usloniidae" "Bisphaera" 387.7 346.7 33 36
"608" "Parathuramminida" "Parathuramminoidea" "Usloniidae" "Parphia" 382.7 358.9 34 35
"609" "Parathuramminida" "Parathuramminoidea" "Eovolutinidae" "Eovolutina" 427.4 358.9 26 35
"610" "Parathuramminida" "Parathuramminoidea" "Tuberitinidae" "Draffania" 358.9 330.9 36 37
"611" "Parathuramminida" "Parathuramminoidea" "Tuberitinidae" "Eotuberitina" 393.3 252.2 32 51
"612" "Parathuramminida" "Parathuramminoidea" "Tuberitinidae" "Paratuberitina" 346.7 307 37 40
"613" "Parathuramminida" "Parathuramminoidea" "Tuberitinidae" "Tubeporina" 393.3 330.9 32 37
"614" "Parathuramminida" "Parathuramminoidea" "Tuberitinidae" "Tuberitina" 323.2 252.2 39 51
"615" "Archaediscida" "Archaediscoidea" "Archaediscidae" "Archaediscus" 346.7 307 37 40
"616" "Archaediscida" "Archaediscoidea" "Archaediscidae" "Asteroachaediscus" 346.7 307 37 40
"618" "Archaediscida" "Archaediscoidea" "Archaediscidae" "Hemiarchaediscus" 339.5 327.8 37 38
"619" "Archaediscida" "Archaediscoidea" "Archaediscidae" "Permodiscus" 346.7 315.2 37 39
"620" "Archaediscida" "Archaediscoidea" "Archaediscidae" "Planoarchaediscus" 346.7 323.2 37 38
"622" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Eolasiodiscus" 330.9 298.9 38 42
"623" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Glomotrocholina" 259.8 252.2 50 51
"624" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Howchinia" 346.7 307 37 40
"625" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Lasiodiscus" 330.9 252.2 38 51
"626" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Lasiotrochus" 298.9 252.2 43 51
"627" "Archaediscida" "Lasiodiscoidea" "Lasiodiscidae" "Monotaxinoides" 358.9 298.9 36 42
"628" "Palaeotextulariida" "Palaeotextularioidea" "Semitextulariidae" "Koskinobigenerina" 346.7 298.9 37 42
"629" "Palaeotextulariida" "Palaeotextularioidea" "Semitextulariidae" "Koskinotextularia" 346.7 298.9 37 42
"630" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Climacammina" 346.7 254.2 37 50
"631" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Cribrogenerina" 300 252.2 42 51
"632" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Cribrostomum" 351 298.9 36 42
"633" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Deckerella" 339.5 254.2 37 50
"634" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Deckerellina" 346.7 307 37 40
"635" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Monogenerina" 298.9 252.2 43 51
"636" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Palaeobigenerina" 327.8 254.2 38 50
"637" "Palaeotextulariida" "Palaeotextularioidea" "Palaeotextulariidae" "Palaeotextularia" 358.9 272.3 36 46
"639" "Palaeotextulariida" "Palaeotextularioidea" "Biseriamminidae" "Biseriella" 323.2 307 39 40
"640" "Palaeotextulariida" "Palaeotextularioidea" "Biseriamminidae" "Dagmarita" 259.8 252.2 50 51
"642" "Palaeotextulariida" "Palaeotextularioidea" "Biseriamminidae" "Globivalvulina" 323.2 254.2 39 50
"643" "Palaeotextulariida" "Palaeotextularioidea" "Biseriamminidae" "Lipinella" 323.2 252.2 39 51
"650" "Tetrataxida" "Tetrataxoidea" "Tetrataxidae" "Tetrataxis" 351 330.9 36 37
"651" "Tetrataxida" "Tetrataxoidea" "Pseudotaxidae" "Pseudotaxis" 351 318.3 36 39
"653" "Tetrataxida" "Tetrataxoidea" "Valvulinellidae" "Valvulinella" 346.7 318.3 37 39
"656" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Brunsiina" 372.2 330.9 35 37
"657" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Carbonella" 351 339.5 36 37
"658" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Conilites" 351 339.5 36 37
"659" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Costayella" 358.9 330.9 36 37
"661" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Chernyshinella" 368.7 330.9 35 37
"663" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Condrustella" 351 330.9 36 37
"664" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Elbanaia" 351 339.5 36 37
"665" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Endochernella" 358.9 330.9 36 37
"666" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Eoforschia" 358.9 330.9 36 37
"667" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Eotournayella" 382.7 358.9 34 35
"670" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Glomospiranella" 382.7 330.9 34 37
"671" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Glomospiroides" 330.9 298.9 38 42
"676" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Neobrunsiina" 358.9 330.9 36 37
"680" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Pseudolituotubella" 351 339.5 36 37
"682" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Rectotournayellina" 372.2 346.7 35 36
"686" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Septatournayella" 372.2 330.9 35 37
"687" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Spinobrunsiina" 358.9 330.9 36 37
"690" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Tournayella" 358.9 330.9 36 37
"691" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Tournayellina" 372.2 346.7 35 36
"692" "Tournayellida" "Tournayelloidea" "Tournayellidae" "Uviella" 358.9 330.9 36 37
"694" "Tournayellida" "Tournayelloidea" "Palaeospiroplectamminidae" "Endospiroplectammina" 351 336.8 36 37
"695" "Tournayellida" "Tournayelloidea" "Palaeospiroplectamminidae" "Eotextularia" 351 336.8 36 37
"698" "Tournayellida" "Tournayelloidea" "Palaeospiroplectamminidae" "Rectochernyshinella" 368.7 351 35 36
"700" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Eoparastaffella" 351 339.5 36 37
"701" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Eostaffella" 346.7 259.8 37 49
"703" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Millerella" 330.9 298.9 38 42
"704" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Ozawainella" 330.9 259.8 38 49
"705" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Pamirina" 295.5 272.3 44 46
"706" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Pseudonovella" 318.3 307 39 40
"707" "Fusulinida" "Ozawainelloidea" "Ozawainellidae" "Quasireichelina" 272.3 259.8 47 49
"713" "Fusulinida" "Ozawainelloidea" "Pseudostaffellidae" "Mediocris" 342.9 310.3 37 40
"716" "Fusulinida" "Ozawainelloidea" "Pseudostaffellidae" "Pseudostaffella" 323.2 307 39 40
"718" "Fusulinida" "Ozawainelloidea" "Pseudostaffellidae" "Toriyamaia" 298.9 272.3 43 46
"720" "Fusulinida" "Ozawainelloidea" "Staffellidae" "Nankinella" 295.5 254.2 44 50
"721" "Fusulinida" "Ozawainelloidea" "Staffellidae" "Pisolina" 298.9 272.3 43 46
"722" "Fusulinida" "Ozawainelloidea" "Staffellidae" "Pseudoendothyra" 346.7 290.1 37 44
"723" "Fusulinida" "Ozawainelloidea" "Staffellidae" "Staffella" 290.1 272.3 45 46
"724" "Fusulinida" "Ozawainelloidea" "Kahlerinidae" "Kahlerina" 272.3 259.8 47 49
"725" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Biwaella" 300.9 272.3 42 46
"726" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Boultonia" 298.9 290.1 43 44
"727" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Codonofusiella" 259.8 252.2 50 51
"729" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Dutkevichites" 303.7 295.5 42 43
"733" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Grovesella" 319.4 265.1 39 48
"735" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Lantschichites" 259.8 252.2 50 51
"736" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Mesoschubertella" 298.9 259.8 43 49
"737" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Minojapanella" 265.1 252.2 49 51
"738" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Nanlingella" 259.8 252.2 50 51
"740" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Neoschubertella" 295.5 259.8 44 49
"744" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Russiella" 265.1 252.2 49 51
"745" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Schubertella" 315.2 265.1 40 48
"746" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Schubertina" 323.2 252.2 39 51
"747" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Sphaeroschwagerina" 298.9 252.2 43 51
"748" "Fusulinida" "Schubertelloidea" "Schubertellidae" "Yangchienia" 298.9 259.8 43 49
"758" "Fusulinida" "Fusulinoidea" "Fusulinidae" "Profusulinella" 319.4 310.2 39 40
"759" "Fusulinida" "Fusulinoidea" "Fusulinidae" "Protriticites" 308.2 303.7 40 41
"760" "Fusulinida" "Fusulinoidea" "Fusulinidae" "Quasifusulina" 315.2 290.1 40 44
"764" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Chalaroschwagerina" 290.1 272.3 45 46
"765" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Chusenella" 295.5 259.8 44 49
"766" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Cuniculinella" 290.1 272.3 45 46
"767" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Daixina" 303.7 295.5 42 43
"768" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Dunbarinella" 303.7 290.1 42 44
"769" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Eoparafusulina" 297.1 279.3 43 45
"771" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Monodiexodina" 298.9 259.8 43 49
"773" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Parafusulina" 272.3 252.2 47 51
"776" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Pseudofusulina" 299.6 272.3 42 46
"777" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Pseudoschwagerina" 298.9 272.3 43 46
"778" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Schwagerina" 295.5 279.3 44 45
"781" "Fusulinida" "Schwagerinoidea" "Schwagerinidae" "Triticites" 307 290.1 41 44
"783" "Fusulinida" "Neoschwagerinoidea" "Verbeekinida" "Verbeekina" 272.3 259.8 47 49
