"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"89" "Miliolida" "Soritoidea" "Soritidae" "Opertorbitolites" 59.2 47.8 83 84
"90" "Miliolida" "Soritoidea" "Soritidae" "Orbitolites" 56 37.8 84 86
"91" "Miliolida" "Soritoidea" "Soritidae" "Praerhapydionina" 47.8 15.97 85 90
"92" "Miliolida" "Soritoidea" "Soritidae" "Rhabdorites" 47.8 37.8 85 86
"95" "Miliolida" "Soritoidea" "Soritidae" "Twaraina" 56 33.9 84 87
"96" "Miliolida" "Soritoidea" "Soritidae" "Yaberinella" 47.8 33.9 85 87
"97" "Miliolida" "Soritoidea" "Soritidae" "Cycledomia" 96 91.6 76 77
"98" "Miliolida" "Soritoidea" "Soritidae" "Edomia" 100.5 89.8 76 77
"99" "Miliolida" "Soritoidea" "Soritidae" "Lamarmorella" 89.8 83.6 78 79
"100" "Miliolida" "Soritoidea" "Soritidae" "Murgella" 89.8 66 78 81
"104" "Miliolida" "Soritoidea" "Soritidae" "Scandonea" 83.6 61.6 80 82
"107" "Miliolida" "Soritoidea" "Meandropsinidae" "Ayalaina" 83.6 66 80 81
"108" "Miliolida" "Soritoidea" "Meandropsinidae" "Broeckina" 100.5 66 76 81
"110" "Miliolida" "Soritoidea" "Meandropsinidae" "Larrazetia" 83.6 66 80 81
"111" "Miliolida" "Soritoidea" "Meandropsinidae" "Meandropsina" 89.8 66 78 81
"112" "Miliolida" "Soritoidea" "Meandropsinidae" "Nummofallotia" 89.8 66 78 81
"118" "Miliolida" "Soritoidea" "Keramosphaeridae" "Keramosphaerina" 89.8 66 78 81
"120" "Miliolida" "Soritoidea" "Milioliporidae" "Galeanella" 228.4 201.3 57 58
"121" "Miliolida" "Soritoidea" "Milioliporidae" "Kamurana" 259.8 247.1 50 53
"122" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Eulinderina" 47.8 11.63 85 91
"123" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Helicolepidina" 47.8 33.9 85 87
"124" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Helicostegina" 56 33.9 84 87
"127" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Astrolepidina" 33.9 23.03 88 89
"128" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Eulepidina" 33.9 18.3 88 90
"129" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Lepidocyclina" 47.8 5.333 85 92
"130" "Rotaliida" "Asterigerinoidea" "Lepidocyclinidae" "Pseudolepidina" 47.8 37.8 85 86
"131" "Rotaliida" "Asterigerinoidea" "Amphisteginidae" "Amphistegina" 56 0 84 94
"132" "Rotaliida" "Asterigerinoidea" "Boreloididae" "Boreloides" 47.8 33.9 85 87
"133" "Rotaliida" "Asterigerinoidea" "Boreloididae" "Eoconuloides" 59.2 33.9 83 87
"134" "Rotaliida" "Nummulitoidea" "Cycloclypeidae" "Cycloclypeus" 33.9 0 88 94
"139" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Radiocycloclypeus" 20.44 11.63 90 91
"140" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Operculinella" 33.9 0 88 94
"142" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Heterostegina" 37.8 0 87 94
"143" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Spiroclypeus" 37.8 15.97 87 90
"144" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Tansinhokella" 37.8 15.97 87 90
"145" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Assilina" 59.2 11.63 83 91
"147" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Nummulites" 61.6 28.1 83 88
"148" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Operculina " 59.2 0 83 94
"149" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Palaeonummulites" 59.2 0 83 94
"150" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Planocamerinoides" 59.2 37.8 83 86
"151" "Rotaliida" "Nummulitoidea" "Nummulitidae" "Planostegina" 59.2 0 83 94
"153" "Rotaliida" "Nummulitoidea" "Pellatispiridae" "Biplanispira" 47.8 33.9 85 87
"154" "Rotaliida" "Nummulitoidea" "Pellatispiridae" "Pellatispira" 41.2 33.9 86 87
"157" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Actinocyclina" 47.8 33.9 85 87
"159" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Athecocyclina" 56 33.9 84 87
"160" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Discocyclina" 61.6 33.9 83 87
"161" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Hexagonocyclina" 56 37.8 84 86
