"Order" "Family" "Subfamily" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"10513" "Artiodactyla" "Moschidae" "Blastomerycinae" "Longirostromeryx" 14.8 10.1 91 92
"10528" "Rodentia" "Muridae" "Lophiomyinae" "Lophiomys" 5.7 5.3 92 93
"10530" "Rodentia" "Ischyromyidae" "Reithroparamyinae" "Lophiparamys" 55 43.8 84 85
"10540" "Artiodactyla" "Suidae" "Listriodontinae" "Lopholistriodon" 18 11.2 90 92
"10579" "Carnivora" "Felidae" "Felinae" "Lynx" 7.6 0.364 92 94
"10611" "Primates" "Cercopithecidae" "Cercopithecinae" "Macaca" 11.2 0.01 92 94
"10638" "Creodonta" "Oxyaenidae" "Machaeroidinae" "Machaeroides" 52.7 46.9 84 85
"10650" "Carnivora" "Felidae" "Machairodontinae" "Machairodus" 9 4.9 92 93
"10676" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Macrogenis" 12.1 9 91 92
"10686" "Rodentia" "Dipodidae" "Sicistinae" "Macrognathomys" 14.8 6.8 91 92
"10698" "Euprimates" "Omomyidae" "Omomyinae" "Macrotarsius" 43.8 40 85 86
"10712" "Carnivora" "Amphicyonidae" "Temnocyoninae" "Mammacyon" 30 23 88 90
"10725" "Rodentia" "Ischyromyidae" "Paramyinae" "Manitsha" 36.5 33.7 87 88
"10729" "Rodentia" "Sciuridae" "Sciurinae" "Marmota" 17 0.0441 90 94
"10747" "Artiodactyla" "Merycoidodontidae" "Ticholeptinae" "Mediochoerus" 18.8 14.8 90 91
"10767" "Rodentia" "Muridae" "Megacricetodontinae" "Megacricetodon" 23.8 7.1 89 92
"11447" "Perissodactyla" "Equidae" "Anchitheriinae" "Megahippus" 16 10.1 90 92
"11469" "Lagomorpha" "Leporidae" "Palaeolaginae" "Megalagus" 40 17.5 86 90
"11512" "Carnivora" "Felidae" "Machairodontinae" "Meganteron" 6.8 2.5 92 94
"11524" "Rodentia" "Dipodidae" "Sicistinae" "Megasminthus" 17.5 6.8 90 92
"11535" "Artiodactyla" "Camelidae" "Camelinae" "Megatylopus" 14.8 2.5 91 94
"11610" "Rodentia" "Muridae" "Melissiodontinae" "Melissiodon" 34 18 87 90
"11687" "Rodentia" "Aplodontidae" "Meniscomyinae" "Meniscomys" 31.4 18.8 88 90
"11729" "Perissodactyla" "Rhinocerotidae" "Menoceratinae" "Menoceras" 31.4 17.5 88 90
"11766" "Artiodactyla" "Antilocapridae" "Merycodontinae" "Meryceros" 17.5 12.1 90 91
"11789" "Perissodactyla" "Equidae" "Equinae" "Merychippus" 18.8 12.1 90 91
"11902" "Artiodactyla" "Merycoidodontidae" "Ticholeptinae" "Merychyus" 23 6.8 90 92
"12025" "Artiodactyla" "Merycoidodontidae" "Merycochoerinae" "Merycochoerus" 30 17.5 88 90
"12075" "Artiodactyla" "Antilocapridae" "Merycodontinae" "Merycodus" 23 4.9 90 93
"12117" "Artiodactyla" "Merycoidodontidae" "Phenacocoelinae" "Merycoides" 30 18.8 88 90
"12152" "Artiodactyla" "Merycoidodontidae" "Miniochoerinae" "Merycoidodon" 43.8 12.1 85 91
"12155" "Artiodactyla" "Anthracotheriidae" "Bothriodontinae" "Merycopotamus" 2.59 1.95 93 94
"12157" "Perissodactyla" "Brontotheriidae" "Dolichorhininae" "Mesatirhinus" 49 46.3 84 85
"12162" "Rodentia" "Muridae" "Cricetinae" "Mesocricetus" 7.1 1.29 92 94
"12181" "Carnivora" "Canidae" "Hesperocyoninae" "Mesocyon" 42.8 28.1 85 88
"12198" "Rodentia" "Mylagaulidae" "Mesogaulinae" "Mesogaulus" 33.7 16 88 90
"12212" "Perissodactyla" "Equidae" "Anchitheriinae" "Mesohippus" 40 18.8 86 90
"12295" "Condylarthra" "Mesonychidae" "Mesonychinae" "Mesonyx" 49.9 42.8 84 85
"12304" "Primates" "Cercopithecidae" "Colobinae" "Mesopithecus" 7.1 3.4 92 93
"12315" "Artiodactyla" "Merycoidodontidae" "Merycochoerinae" "Mesoreodon" 31.4 23 88 90
"12323" "Carnivora" "Canidae" "Caninae" "Metalopex" 12.5 4.9 91 93
"12335" "Rodentia" "Eomyidae" "Eomyinae" "Metanoiamys" 46.3 40 85 86
"12373" "Eulipotyphla" "Erinaceidae" "Brachyericinae" "Metechinus" 18.8 12.1 90 91
"12389" "Artiodactyla" "Suidae" "Suinae" "Metridiochoerus" 5.33 0.78 93 94
"12525" "Artiodactyla" "Camelidae" "Protolabinae" "Michenia" 23 9 90 92
"12562" "Condylarthra" "Mesonychidae" "Hapalodectinae" "Microclaenodon" 62.4 61.3 82 83
"12566" "Rodentia" "Heteromyidae" "Dipodomyinae" "Microdipodops" 4.9 2.5 93 94
"12568" "Rodentia" "Castoridae" "Castoroidinae" "Microdipoides" 16 12.1 90 91
"12584" "Rodentia" "Muridae" "Murinae" "Micromys" 9 0.427 92 94
"12690" "Rodentia" "Ischyromyidae" "Reithroparamyinae" "Microparamys" 55.8 36.5 84 87
"12750" "Artiodactyla" "Dichobunidae" "Homacodontinae" "Microsus" 49.9 46.9 84 85
"12757" "Plesiadapiformes" "Microsyopidae" "Microsyopinae" "Microsyops" 54.9 43.8 84 85
"12797" "Rodentia" "Muridae" "Cricetinae" "Microtocricetus" 17 9.491 90 92
"12814" "Rodentia" "Muridae" "Arvicolinae" "Microtodon" 7.1 3.158 92 93
"12848" "Carnivora" "Canidae" "Borophaginae" "Microtomarctus" 17.5 14.8 90 91
"12870" "Rodentia" "Muridae" "Microtoscoptinae" "Microtoscoptes" 11.2 5.3 92 93
"12881" "Rodentia" "Muridae" "Arvicolinae" "Microtus" 7.1 0.01 92 94
"13091" "Rodentia" "Muridae" "Arvicolinae" "Mictomys" 4.9 2.5 93 94
"13101" "Rodentia" "Muridae" "Arvicolinae" "Mimomys" 9 0.427 92 94
"13488" "Condylarthra" "Mioclaenidae" "Mioclaeninae" "Mioclaenus" 63.9 61.3 82 83
"13495" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Mioheteromys" 17.5 12.1 90 91
"13507" "Perissodactyla" "Equidae" "Anchitheriinae" "Miohippus" 40 18.8 86 90
"13564" "Artiodactyla" "Camelidae" "Miolabinae" "Miolabis" 19.5 12.1 90 91
"13596" "Carnivora" "Mustelidae" "Lutrini" "Mionictis" 17.5 5.9 90 92
"13610" "Rodentia" "Sciuridae" "Sciurinae" "Miosciurus" 30 23 88 90
"13616" "Eulipotyphla" "Soricidae" "Crocidosoricinae" "Miosorex" 18 9.069 90 92
"13729" "Rodentia" "Sciuridae" "Sciurinae" "Miospermophilus" 30 12.1 88 91
"13748" "Artiodactyla" "Bovidae" "Bovinae" "Miotragocerus" 15.2 6.54 91 92
"13764" "Artiodactyla" "Camelidae" "Stenomylinae" "Miotylopus" 30 23 88 90
"13791" "Rodentia" "Muridae" "Cricetodontinae" "Mixocricetodon" 17 15.2 90 91
"13799" "Rodentia" "Castoridae" "Castoroidinae" "Monosaulax" 33.7 10.1 88 92
"13836" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Mookomys" 28.1 14.8 89 91
"13859" "Artiodactyla" "Cervidae" "Muntiacinae" "Muntiacus" 9 0.01 92 94
"13929" "Rodentia" "Muridae" "Murinae" "Mus" 17 0.01 90 94
"13991" "Carnivora" "Mustelidae" "Mustelini" "Mustela" 16 2.5 90 94
"14008" "Carnivora" "Mustelidae" "Mustelavinae" "Mustelavus" 34.7 33.7 87 88
"14012" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Mylagaulus" 18.8 5.9 90 92
"14037" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Mylohyus" 9 1.9 92 94
"14047" "Rodentia" "Muridae" "Myocricetodontinae" "Myocricetodon" 23.8 5.3 89 93
"14116" "Rodentia" "Muridae" "Myospalacinae" "Myospalax" 3.4 0.655 93 94
"14142" "Chiroptera" "Vespertilionidae" "Myotinae" "Myotis" 20 1.2 90 94
"14151" "Rodentia" "Cylindrodontidae" "Jaywilsonomyinae" "Mysops" 49.9 42.8 84 85
"14163" "Eulipotyphla" "Talpidae" "Uropsilinae" "Mystipterus" 30 10.1 88 92
"14181" "Lagomorpha" "Leporidae" "Palaeolaginae" "Mytonolagus" 42.8 36.5 85 87
"14192" "Rodentia" "Ischyromyidae" "Ailuravinae" "Mytonomys" 54.7 37 84 87
"14213" "Eulipotyphla" "Talpidae" "Talpinae" "Myxomygale" 33 12.5 88 91
"14215" "Rodentia" "Eomyidae" "Eomyinae" "Namatomys" 46.3 31.4 85 88
"14229" "Perissodactyla" "Equidae" "Equinae" "Nannippus" 14.8 2.5 91 94
"14307" "Rodentia" "Muridae" "Cricetinae" "Nannocricetus" 11.2 3.4 92 93
"14337" "Didelphimorphia" "Didelphidae" "Peradectinae" "Nanodelphys" 42.8 28.1 85 88
"14353" "Carnivora" "Procyonidae" "Procyoninae" "Nasua" 5.9 4.9 92 93
"14357" "Plesiadapiformes" "Microsyopidae" "Navajoviinae" "Navajovius" 61.3 53 83 84
"14365" "Rodentia" "Castoridae" "Agnotocastorinae" "Neatocastor" 33.7 17.5 88 90
"14373" "Rodentia" "Muridae" "Arvicolinae" "Nebraskomys" 4.9 2.5 93 94
"14377" "Lagomorpha" "Leporidae" "Leporinae" "Nekrolagus" 5.9 2.5 92 94
"14388" "Rodentia" "Muridae" "Platacanthomyinae" "Neocometes" 20 12.5 90 91
"14441" "Perissodactyla" "Equidae" "Equinae" "Neohipparion" 16 5.9 90 92
"14508" "Rodentia" "Muridae" "Neotominae" "Neotoma" 7.6 2.5 92 94
"14591" "Carnivora" "Felidae" "Felinae" "Nimravides" 14.8 4.9 91 93
"14663" "Rodentia" "Dipodidae" "Simimyinae" "Nonomys" 42.8 35.7 85 87
"14671" "Euprimates" "Notharctidae" "Notharctinae" "Notharctus" 52.7 46.3 84 85
"14701" "Artiodactyla" "Camelidae" "Miolabinae" "Nothotylopus" 17.5 12.1 90 91
"14710" "Eulipotyphla" "Soricidae" "Soricinae" "Notiosorex" 6.8 2.5 92 94
"14721" "Artiodactyla" "Suidae" "Tetraconodontinae" "Notochoerus" 7.1 1.8 92 94
"14809" "Lagomorpha" "Leporidae" "Archaeolaginae" "Notolagus" 9 2.5 92 94
"14822" "Rodentia" "Sciuridae" "Sciurinae" "Nototamias" 30 10.1 88 92
"14842" "Artiodactyla" "Suidae" "Tetraconodontinae" "Nyanzachoerus" 11.2 2.53 92 94
"14920" "Eulipotyphla" "Erinaceidae" "Galericinae" "Ocajila" 46.3 28.1 85 88
"14930" "Rodentia" "Muridae" "Murinae" "Occitanomys" 11.2 2.59 92 93
"15140" "Artiodactyla" "Cervidae" "Odocoilini" "Odocoileus" 4.9 0.85 93 94
"15177" "Rodentia" "Muridae" "Arvicolinae" "Ogmodontomys" 9 2.5 92 94
"15194" "Rodentia" "Sciuridae" "Cedromurinae" "Oligospermophilus" 34.7 30 87 88
"15199" "Rodentia" "Castoridae" "Agnotocastorinae" "Oligotheriomys" 33.7 18.8 88 90
"15202" "Euprimates" "Omomyidae" "Omomyinae" "Omomys" 49.9 40 84 86
"15222" "Rodentia" "Muridae" "Arvicolinae" "Ondatra" 7.6 1.9 92 94
"15245" "Rodentia" "Muridae" "Neotominae" "Onychomys" 6.8 2.5 92 94
"15269" "Rodentia" "Muridae" "Arvicolinae" "Ophiomys" 9 2.5 92 94
"15281" "Rodentia" "Heteromyidae" "Perognathinae" "Oregonomys" 9 4.9 92 93
"15287" "Rodentia" "Eomyidae" "Eomyinae" "Orelladjidaumo" 40 33.7 86 88
"15289" "Artiodactyla" "Merycoidodontidae" "Phenacocoelinae" "Oreodontoides" 31.4 19.5 88 90
"15298" "Artiodactyla" "Merycoidodontidae" "Miniochoerinae" "Oreonetes" 40 31.4 86 88
"15331" "Rodentia" "Muridae" "Murinae" "Orientalomys" 20.5 2.59 90 93
"15363" "Perissodactyla" "Equidae" "Hyracotheriinae" "Orohippus" 52.7 43.8 84 85
"15397" "Carnivora" "Canidae" "Hesperocyoninae" "Osbornodon" 33.7 16 88 90
"15524" "Rodentia" "Muridae" "Eucricetodontinae" "Paciculus" 30 23 88 90
"15534" "Rodentia" "Sciuridae" "Sciurinae" "Paenemarmota" 9 2.5 92 94
"15564" "Plesiadapiformes" "Palaechthonidae" "Palaechthoninae" "Palaechthon" 64.1 52.7 82 84
"15580" "Rodentia" "Castoridae" "Palaeocastorinae" "Palaeocastor" 32 18.8 88 90
"15610" "Artiodactyla" "Palaeochoeridae" "Palaeochoerinae" "Palaeochoerus" 23.8 18 89 90
"15621" "Lagomorpha" "Leporidae" "Palaeolaginae" "Palaeolagus" 40 18.8 86 90
"15711" "Artiodactyla" "Camelidae" "Camelinae" "Palaeolama" 5.9 0.85 92 94
"15726" "Cimolesta" "Palaeoryctidae" "Palaeoryctinae" "Palaeoryctes" 65 54 82 84
"15755" "Cimolesta" "Pantolestidae" "Pantolestinae" "Palaeosinopa" 58.8 49.9 83 84
"15799" "Perissodactyla" "Brontotheriidae" "Palaeosyopinae" "Palaeosyops" 52.7 46.9 84 85
"15849" "Cimolesta" "Pantolestidae" "Pantolestinae" "Pantolestes" 54.9 42.8 84 85
"15873" "Artiodactyla" "Moschidae" "Blastomerycinae" "Parablastomeryx" 18.8 12.1 90 91
"15879" "Artiodactyla" "Suidae" "Tetraconodontinae" "Parachleuastochoerus" 15.2 9.428 91 92
"15933" "Artiodactyla" "Antilocapridae" "Merycodontinae" "Paracosoryx" 18.8 10.1 90 92
"15968" "Eulipotyphla" "Soricidae" "Soricinae" "Paracryptotis" 9 4.9 92 93
"15973" "Carnivora" "Canidae" "Borophaginae" "Paracynarctus" 18.8 14.8 90 91
"15995" "Rodentia" "Eomyidae" "Eomyinae" "Paradjidaumo" 49 17.5 84 90
"16043" "Eulipotyphla" "Soricidae" "Heterosoricinae" "Paradomnina" 17.5 14.8 90 91
"16063" "Rodentia" "Muridae" "Murinae" "Paraethomys" 9.5 0.78 92 94
"16167" "Perissodactyla" "Equidae" "Anchitheriinae" "Parahippus" 23 12.1 90 91
"16217" "Rodentia" "Aplodontidae" "Allomyinae" "Parallomys" 28.1 23 89 90
"16225" "Artiodactyla" "Camelidae" "Miolabinae" "Paramiolabis" 18.8 14.8 90 91
"16243" "Rodentia" "Ischyromyidae" "Paramyinae" "Paramys" 55.8 40 84 86
"16352" "Carnivora" "Mustelidae" "Oligobuninae" "Paraoligobunus" 28.1 18.8 89 90
"16356" "Rodentia" "Sciuridae" "Sciurinae" "Parapaenemarmota" 6.8 4.9 92 93
"16358" "Rodentia" "Muridae" "Murinae" "Parapelomys" 8.5 3.56 92 93
"16376" "Rodentia" "Geomyidae" "Geomyinae" "Parapliosaccomys" 14.8 7.6 91 92
"16381" "Rodentia" "Muridae" "Murinae" "Parapodemus" 11.2 0.787 92 94
"16495" "Rodentia" "Muridae" "Rhizomyinae" "Pararhizomys" 9.5 4.6 92 93
"16508" "Cimolesta" "Palaeoryctidae" "Palaeoryctinae" "Pararyctes" 64.1 55 82 84
"16528" "Artiodactyla" "Protoceratidae" "Protoceratinae" "Paratoceras" 23 12.1 90 91
"16533" "Carnivora" "Canidae" "Borophaginae" "Paratomarctus" 16 12.1 90 91
"16560" "Artiodactyla" "Camelidae" "Poebrotheriinae" "Paratylopus" 36.5 16 87 90
"16576" "Carnivora" "Canidae" "Hesperocyoninae" "Parenhydrocyon" 32 18.8 88 90
"16595" "Rodentia" "Cylindrodontidae" "Jaywilsonomyinae" "Pareumys" 46.3 40 85 86
"16624" "Carnivora" "Ursidae" "Amphicynodontinae" "Parictis" 37 32 87 88
"16652" "Rodentia" "Muridae" "Cricetodontinae" "Paronychomys" 12.1 5.9 91 92
"16659" "Artiodactyla" "Merycoidodontidae" "Phenacocoelinae" "Paroreodon" 28.1 19.5 89 90
"16663" "Eulipotyphla" "Erinaceidae" "Erinaceinae" "Parvericius" 28.1 12.5 89 91
"16686" "Creodonta" "Oxyaenidae" "Oxyaeninae" "Patriofelis" 50 46.9 84 85
"16703" "Rodentia" "Sciuravidae" "Pauromyinae" "Pauromys" 53 42.8 84 85
"16733" "Rodentia" "Muridae" "Murinae" "Pelomys" 5.3 1.95 93 94
"16745" "Rodentia" "Aplodontidae" "Prosciurinae" "Pelycomys" 34.7 31.4 87 88
"16754" "Perissodactyla" "Rhinocerotidae" "Teletaceriidae" "Penetrigonias" 40 32 86 88
"16773" "Artiodactyla" "Dichobunidae" "Homacodontinae" "Pentacemylus" 42.8 40 85 86
"16776" "Cimolesta" "Pantolestidae" "Pentacodontinae" "Pentacodon" 62.4 60.9 82 83
"16782" "Perissodactyla" "Rhinocerotidae" "Aceratheriinae" "Peraceras" 18.8 10.1 90 92
"16832" "Didelphimorphia" "Didelphidae" "Peradectinae" "Peradectes" 65 35.7 82 87
"16909" "Artiodactyla" "Tayassuidae" "Hesperhyinae" "Perchoerus" 37 30 87 88
"16921" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Peridiomys" 17.5 14.8 90 91
"16934" "Condylarthra" "Periptychidae" "Periptychinae" "Periptychus" 63.9 56.3 82 83
"16950" "Rodentia" "Heteromyidae" "Perognathinae" "Perognathus" 18.8 2.5 90 94
"17050" "Rodentia" "Muridae" "Neotominae" "Peromyscus" 10.1 1.9 92 94
"17116" "Rodentia" "Pteromyidae" "Petauristinae" "Petauristodon" 23 10.1 90 92
"17143" "Eulipotyphla" "Soricidae" "Soricinae" "Petenyia" 9.5 2.59 92 93
"17182" "Lagomorpha" "Leporidae" "Archaeolaginae" "Pewelagus" 4.9 2.5 93 94
"17189" "Artiodactyla" "Suidae" "Suinae" "Phacochoerus" 3.56 0.126 93 94
"17227" "Condylarthra" "Mioclaenidae" "Apheliscinae" "Phenacodaptes" 57.7 55.8 83 84
"17235" "Condylarthra" "Phenacodontidae" "Phenacodontinae" "Phenacodus" 61.3 46.9 83 85
"17381" "Carnivora" "Canidae" "Borophaginae" "Phlaocyon" 31.4 17.5 88 90
"17413" "Eulipotyphla" "Soricidae" "Soricinae" "Planisorex" 4.9 2.5 93 94
"17416" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Platygonus" 9 1.9 92 94
"17481" "Artiodactyla" "Camelidae" "Camelinae" "Pleiolama" 12.1 4.9 91 93
"17500" "Rodentia" "Muridae" "Cricetodontinae" "Plesiodipus" 15.2 8.2 91 92
"17516" "Carnivora" "Mustelidae" "Ischyrictini" "Plesiogulo" 7.6 4.9 92 93
"17532" "Plesiadapiformes" "Palaechthonidae" "Plesiolestinae" "Plesiolestes" 63.9 58.8 82 83
"17545" "Rodentia" "Dipodidae" "Sicistinae" "Plesiosminthus" 30 12.1 88 91
"17579" "Rodentia" "Geomyidae" "Entoptychinae" "Pleurolicus" 30 18.8 88 90
"17589" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Plioceros" 14.8 7.6 91 92
"17607" "Carnivora" "Amphicyonidae" "Amphicyoninae" "Pliocyon" 17.5 14.8 90 91
"17615" "Carnivora" "Mephitidae" "Mephitini" "Pliogale" 14.8 5.9 91 92
"17620" "Rodentia" "Geomyidae" "Geomyinae" "Pliogeomys" 7.6 4.9 92 93
"17628" "Perissodactyla" "Equidae" "Equinae" "Pliohippus" 16 4.9 90 93
"17703" "Rodentia" "Muridae" "Arvicolinae" "Pliomys" 4.2 0.301 93 94
"17751" "Carnivora" "Ursidae" "Tremarctini" "Plionarctos" 6.8 2.5 92 94
"17759" "Carnivora" "Mustelidae" "Ischyrictini" "Plionictis" 18.8 6.8 90 92
"17780" "Rodentia" "Muridae" "Arvicolinae" "Pliophenacomys" 4.9 2.5 93 94
"17794" "Rodentia" "Geomyidae" "Geomyinae" "Pliosaccomys" 12.1 6.8 91 92
"17808" "Rodentia" "Muridae" "Spalacinae" "Pliospalax" 18 1.95 90 94
"17854" "Carnivora" "Mustelidae" "Taxidiini" "Pliotaxidea" 12.1 5.9 91 92
"17876" "Carnivora" "Ursidae" "Hemicyoninae" "Plithocyon" 16 10.1 90 92
"17884" "Artiodactyla" "Protoceratidae" "Leptotragulidae" "Poabromylus" 42.8 34.7 85 87
"17898" "Artiodactyla" "Camelidae" "Poebrotheriinae" "Poebrotherium" 37 23 87 90
"17949" "Primates" "Hominidae" "Homininae" "Pongo" 2.59 0.01 93 94
"17980" "Hyracoidea" "Pliohyracidae" "Pliohyracinae" "Postschizotherium" 9 1.816 92 94
"17985" "Artiodactyla" "Suidae" "Babyrousinae" "Potamochoerus" 20.5 1.88 90 94
"18002" "Carnivora" "Mustelidae" "Oligobuninae" "Potamotherium" 18.8 14.8 90 91
"18018" "Primates" "Cercopithecidae" "Colobinae" "Presbytis" 2.59 0.01 93 94
"18036" "Carnivora" "Procyonidae" "Procyoninae" "Probassariscus" 16 7.6 90 92
"18051" "Artiodactyla" "Camelidae" "Camelinae" "Procamelus" 17.5 4.9 90 93
"18108" "Rodentia" "Castoridae" "Castoroidinae" "Procastoroides" 4.9 2.5 93 94
"18125" "Carnivora" "Procyonidae" "Procyoninae" "Procyon" 6.8 0.85 92 94
"18147" "Artiodactyla" "Merycoidodontidae" "Miniochoerinae" "Prodesmatochoerus" 42.8 31.4 85 88
"18202" "Rodentia" "Heteromyidae" "Dipodomyinae" "Prodipodomys" 16 2.5 90 94
"18254" "Rodentia" "Muridae" "Murinae" "Progonomys" 12.5 7.1 91 92
"18406" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Proheteromys" 32 14.8 88 91
"18457" "Rodentia" "Muridae" "Rhizomyinae" "Prokanisamys" 20.5 13 90 91
"18494" "Carnivora" "Mustelidae" "Oligobuninae" "Promartes" 28.1 18.8 89 90
"18507" "Rodentia" "Muridae" "Arvicolinae" "Prometheomys" 9 1.95 92 94
"18511" "Rodentia" "Muridae" "Arvicolinae" "Promimomys" 9.5 2.005 92 94
"18562" "Condylarthra" "Mioclaenidae" "Mioclaeninae" "Promioclaenus" 64.8 58.8 82 83
"18600" "Rodentia" "Mylagaulidae" "Promylagaulinae" "Promylagaulus" 30 18.8 88 90
"18607" "Lagomorpha" "Leporidae" "Leporinae" "Pronotolagus" 17.5 6.8 90 92
"18626" "Artiodactyla" "Suidae" "Suinae" "Propotamochoerus" 15.2 2 91 94
"18711" "Rodentia" "Aplodontidae" "Prosciurinae" "Prosciurus" 40 23 86 90
"18748" "Rodentia" "Muridae" "Sigmodontinae" "Prosigmodon" 12.1 4.9 91 93
"18758" "Rodentia" "Muridae" "Myospalacinae" "Prosiphneus" 12.5 1.3 91 94
"18823" "Rodentia" "Muridae" "Anomalomyinae" "Prospalax" 11.2 1.95 92 94
"18871" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Prosthennops" 18.8 5.9 90 92
"18906" "Artiodactyla" "Protoceratidae" "Synthetoceratinae" "Prosynthetoceras" 23 14.8 90 91
"18920" "Rodentia" "Eomyidae" "Eomyinae" "Protadjidaumo" 49 36.5 84 87
"18930" "Proboscidea" "Gomphotheriidae" "Protanancina" "Protanancus" 18 12.5 90 91
"18934" "Rodentia" "Muridae" "Gerbillinae" "Protatera" 11.2 3.56 92 93
"18944" "Carnivora" "Canidae" "Borophaginae" "Protepicyon" 16 14.8 90 91
"18954" "Eulipotyphla" "Sespedectidae" "Sespedectinae" "Proterixoides" 43.8 40 85 86
"18965" "Perissodactyla" "Brontotheriidae" "Brontotheriinae" "Protitanops" 43.8 40 85 86
"18969" "Artiodactyla" "Protoceratidae" "Protoceratinae" "Protoceras" 33.7 23 88 90
"18979" "Perissodactyla" "Equidae" "Equinae" "Protohippus" 16 7.6 90 92
"19007" "Artiodactyla" "Camelidae" "Protolabinae" "Protolabis" 18.8 9 90 92
"19072" "Artiodactyla" "Agriochoeridae" "Protoreodontinae" "Protoreodon" 46.9 35.7 85 87
"19151" "Rodentia" "Sciuridae" "Sciurinae" "Protosciurus" 33.7 16 88 90
"19163" "Condylarthra" "Mioclaenidae" "Mioclaeninae" "Protoselene" 64.8 58.8 82 83
"19178" "Rodentia" "Sciuridae" "Sciurinae" "Protospermophilus" 30 10.1 88 92
"19236" "Rodentia" "Eomyidae" "Eomyinae" "Pseudadjidaumo" 30 12.5 88 91
"19248" "Carnivora" "Felidae" "Felinae" "Pseudailurus" 23 4.9 90 93
"19333" "Rodentia" "Muridae" "Pseudocricetodontinae" "Pseudocricetodon" 40 20 86 90
"19365" "Rodentia" "Muridae" "Cricetinae" "Pseudocricetus" 23 7.1 90 92
"19373" "Rodentia" "Cylindrodontidae" "Cylindrodontinae" "Pseudocylindrodon" 49 32.5 84 88
"19404" "Carnivora" "Amphicyonidae" "Amphicyoninae" "Pseudocyon" 16 10.1 90 92
"19412" "Perissodactyla" "Equidae" "Equinae" "Pseudohipparion" 14.8 4.9 91 93
"19444" "Artiodactyla" "Camelidae" "Stenomylinae" "Pseudolabis" 32 23 88 90
"19453" "Rodentia" "Muridae" "Gerbillinae" "Pseudomeriones" 9.5 3.4 92 93
"19524" "Rodentia" "Castoridae" "Palaeocastorinae" "Pseudopalaeocastor" 28.1 18.8 89 90
"19536" "Artiodactyla" "Protoceratidae" "Protoceratinae" "Pseudoprotoceras" 40 34.7 86 87
"19550" "Rodentia" "Ischyromyidae" "Paramyinae" "Pseudotomus" 49.9 37 84 87
"19578" "Eulipotyphla" "Soricidae" "Heterosoricinae" "Pseudotrimylus" 33.7 14.8 88 91
"19594" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Pterogaulus" 17.5 7.6 90 92
"19605" "Carnivora" "Felidae" "Felinae" "Puma" 4.9 2.5 93 94
"19616" "Rodentia" "Muridae" "Megacricetodontinae" "Punjabemys" 16.3 13 90 91
"19635" "Rodentia" "Ischyromyidae" "Paramyinae" "Quadratomus" 49.9 40 84 86
"19652" "Artiodactyla" "Dromomerycidae" "Dromomerycinae" "Rakomeryx" 17.5 14.8 90 91
"19671" "Artiodactyla" "Antilocapridae" "Merycodontinae" "Ramoceros" 16 12.1 90 91
"19694" "Rodentia" "Muridae" "Murinae" "Rattus" 3.4 0.01 93 94
"19732" "Rodentia" "Muridae" "Neotominae" "Reithrodontomys" 4.9 2.5 93 94
"19752" "Rodentia" "Ischyromyidae" "Reithroparamyinae" "Reithroparamys" 55.8 30 84 88
"19786" "Rodentia" "Muridae" "Neotominae" "Repomys" 9 2.5 92 94
"19800" "Rodentia" "Muridae" "Murinae" "Rhagapodemus" 9.5 1.95 92 94
"19875" "Perissodactyla" "Rhinocerotidae" "Rhinocerotinae" "Rhinoceros" 3.4 0.01 93 94
"19889" "Primates" "Cercopithecidae" "Colobinae" "Rhinocolobus" 4.35 1.3 93 94
"19916" "Rodentia" "Muridae" "Rhizomyinae" "Rhizomyides" 11.2 5.3 92 93
"19970" "Rodentia" "Aplodontidae" "Meniscomyinae" "Rudiomys" 28.1 28.1 89 88
"20023" "Rodentia" "Muridae" "Cricetodontinae" "Ruscinomys" 9.5 2.59 92 93
"20112" "Rodentia" "Muridae" "Murinae" "Saidomys" 7.1 3.4 92 93
"20129" "Carnivora" "Mustelidae" "Lutrini" "Satherium" 9 2.5 92 94
"20142" "Eulipotyphla" "Talpidae" "Talpinae" "Scalopoides" 30 5.9 88 92
"20179" "Eulipotyphla" "Talpidae" "Talpinae" "Scalopus" 7.6 2.5 92 94
"20199" "Eulipotyphla" "Talpidae" "Talpinae" "Scapanus" 28.1 2.5 89 94
"20229" "Perissodactyla" "Equidae" "Equinae" "Scaphohippus" 16 14.8 90 91
"20241" "Eulipotyphla" "Talpidae" "Talpinae" "Scaptochirus" 3.4 0.655 93 94
"20247" "Eulipotyphla" "Sespedectidae" "Scenopaginae" "Scenopagus" 57.7 40 83 86
"20296" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Schizodontomys" 30 17.5 88 90
