"","Stage","Temp.mean","n","change.prev","age","bins"
"1",94,22.0383941640412,1,-0.659202117329562,1.29985,"94"
"2",93,23.7923002775141,1,0.333719837613354,3.9605,"93"
"3",92,22.2852214908522,1,0.0868039356498646,8.4765,"92"
"4",91,21.8235547590984,1,0.126428698597968,13.795,"91"
"5",90,21.102279033597,1,0.0388472156664472,19.5,"90"
"6",89,20.86667067058,1,0.25393068176817,25.565,"89"
"7",88,19.48655741517,1,-0.0816225172285246,31,"88"
"8",87,19.8905888754512,1,-0.861972574179894,35.95,"87"
"9",86,23.0798873999168,1,-0.379371073654083,39.65,"86"
"10",85,24.9388056608218,1,-0.846119881886123,44.55,"85"
"11",84,31.1577867926848,1,1.05273832473693,51.9,"84"
"12",83,23.893892352,1,0.518367291675003,58.8,"83"
"13",82,21.302055893625,1,-0.163051477023809,63.8,"82"
"14",81,22.158076148,1,-0.128034903636363,69.05,"81"
"15",80,23.2847833,1,-1.66109343432676,77.85,"80"
"16",79,35.07854668372,1,0.00274864072258133,84.95,"79"
"17",78,35.07002589748,1,-0.371668079619211,88.05,"78"
"18",77,36.482364600033,1,0.494268751827291,91.85,"77"
"19",76,33.838026777757,1,0.555684419346284,97.2,"76"
"20",75,28.531240573,1,0.868556690751019,106.75,"75"
"21",74,17.8914211113,1,-0.291425237951219,119,"74"
"22",73,20.2811080625,1,0.497534851346838,127.2,"73"
"23",72,18.31584539968,1,-0.200968045588463,131.15,"72"
"24",71,19.36087923674,1,-0.905148644856197,136.35,"71"
"25",70,24.83702853812,1,0.232927514328458,142.4,"70"
"26",69,23.404524325,1,0.0351936712325212,148.55,"69"
"27",68,23.18808324692,1,0.405422562140354,154.7,"68"
"28",67,20.87717464272,1,0.252948375163638,160.4,"67"
"29",66,19.764201792,1,1.20338932666669,164.8,"66"
"30",65,16.876067408,1,-1.14036692367619,167.2,"65"
"31",64,19.27083794772,1,-0.478492921648275,169.3,"64"
"32",63,20.6584674205,1,-0.627671760838707,172.2,"63"
"33",62,24.5500323377,1,0.417389274814371,178.4,"62"
"34",61,21.064831893,1,-0.0869184410072284,186.75,"61"
"35",60,21.78625495336,1,0.0458490698476195,195.05,"60"
"36",59,21.54554733666,1,-0.401706860313045,200.3,"59"
"37",58,23.3933988941,1,-0.121921647514607,204.9,"58"
"38",57,25.02105288842,1,-0.0744567458652627,218.25,"57"
"39",56,26.082061517,1,-0.544253099357147,232.5,"56"
"40",55,29.8918332125,1,-0.292676861337259,239.5,"55"
"41",54,31.38448520532,1,1.3093842105261,244.6,"54"
"42",53,25.3613178369,1,-0.713506220832987,249.2,"53"
"43",52,27.13438079567,1,-1.19398179041753,251.685,"52"
"44",51,28.90744375444,1,0.313501215958601,253.17,"51"
"45",50,27.69576155476,1,0.603295645588306,257.035,"50"
"46",49,24.39875085162,1,-0.524489266853934,262.5,"49"
"47",48,26.73272808912,1,-0.209437658227776,266.95,"48"
"48",47,27.48670365874,1,-0.103878631188572,270.55,"47"
"49",46,28.03206647248,1,-0.674314245469675,275.8,"46"
"50",45,34.03346325716,1,1.44769843828147,284.7,"45"
"51",44,22.30710590708,1,0.0181879341090911,292.8,"44"
"52",43,22.227078997,1,-0.171831892760973,297.2,"43"
"53",42,22.93158975732,1,0.49442910107655,301.3,"42"
"54",41,20.92915189796,1,-0.378182974786086,305.35,"41"
"55",40,23.10370400298,1,0.443797733637049,311.1,"40"
"56",39,19.50894236052,1,-0.599726590445859,319.2,"39"
"57",38,24.21679609552,1,-0.109061591654469,327.05,"38"
"58",37,25.49826979746,1,0.0198332408557144,338.8,"37"
"59",36,25.22060442548,1,-0.382374842415689,352.8,"36"
"60",35,30.09588366628,1,0.142317861736136,365.55,"35"
"61",34,28.40230111162,1,0.437030943760008,377.45,"34"
"62",33,25.01531129748,1,0.925940225207548,385.2,"33"
"63",32,20.10782810388,1,-1.01401156573267,390.5,"32"
"64",31,30.19724318292,1,0.379521971748572,400.45,"31"
"65",30,26.87642593012,1,0.000119773551725135,409.2,"30"
"66",29,26.87573124352,1,-0.0464783078622946,415,"29"
"67",28,27.15924892148,1,1.11094673950006,421.1,"28"
"68",27,23.60421935508,1,-1.22846920922728,424.3,"27"
"69",26,26.30685161538,1,1.87183871195929,426.5,"26"
"70",25,21.72084677108,1,-0.552528601693343,428.95,"25"
"71",24,23.37843257616,1,-0.302208949290008,431.95,"24"
"72",23,24.58726837332,1,1.45247357060544,435.95,"23"
"73",22,19.21311616208,1,-0.526389903346966,439.65,"22"
"74",21,20.50277142528,1,1.80802843600008,442.1,"21"
"75",20,16.52510886608,1,-1.019798994875,444.3,"20"
"76",19,21.42014404148,1,-0.171336776551515,449.1,"19"
"77",18,22.55096676672,1,-0.628730821639164,455.7,"18"
"78",17,27.04639214144,1,-0.349775264110354,462.85,"17"
"79",16,29.07508867328,1,-0.891572828553872,468.65,"16"
"80",15,33.71126738176,1,-0.36774900216104,473.85,"15"
"81",14,36.5429346984,1,NA,481.55,"14"
