"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"1423" "Echinodermata" "Crinoidea" "Isocrinida" "Isselicrinidae" "Austinocrinus" 100.5 66 76 81
"1444" "Echinodermata" "Crinoidea" "Angulata" "Babanicrinidae" "Babanicrinus" 466 445.2 17 19
"1459" "Echinodermata" "Echinoidea" "Cidaroida" "Cidaridae" "Balanocidaris" 237 70.6 56 81
"1487" "Echinodermata" "Crinoidea" "Isocrinida" "Isocrinidae" "Balanocrinus" 247.2 15.97 53 90
"1565" "Echinodermata" "Stylophora" "Mitrata" "Kirkocystidae" "Balanocystites" 478.6 460.9 14 17
"1712" "Echinodermata" "Asteroidea" "Valvatida" "Radiasteridae" "Betelgeusia" 129.4 61.6 73 82
"1774" "Echinodermata" "Crinoidea" "Dendrocrinida" "Glossocrinidae" "Blothrocrinus" 364.7 345.3 35 37
"1798" "Echinodermata" "Echinoidea" "Bothriocidaroida" "Bothriocidaridae" "Bothriocidaris" 460.9 443.7 17 21
"1924" "Echinodermata" "Crinoidea" "Cyathocrinida" "Gasterocomidae" "Bouskacrinus" 433.4 407.6 24 30
"1933" "Echinodermata" "Echinoidea" "Spatangoida" "Loveniidae" "Breynia" 11.608 2.588 92 93
"1937" "Echinodermata" "Crinoidea" "Dendrocrinida" "Bridgerocrinidae" "Bridgerocrinus" 376.1 358.9 34 35
"1940" "Echinodermata" "Echinoidea" "Spatangoida" "Schizasteridae" "Brisaster" 33.9 15.97 88 90
"1950" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Brissopatagus" 37.2 5.333 87 92
"1955" "Echinodermata" "Echinoidea" "Spatangoida" "Micrasteridae" "Brissopneustes" 70.6 61.6 81 82
"1959" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Brissopsis" 47.8 0.0117 85 94
"1992" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Brissus" 48.6 0.781 84 94
"2012" "Echinodermata" "Echinoidea" "Camarodonta" "Temnopleuridae" "Brochopleurus" 20.44 13.82 90 91
"2019" "Echinodermata" "Crinoidea" "Diplobathrida" "Rhodocrinitidae" "Bromidocrinus" 460.9 449.5 17 19
"2032" "Echinodermata" "Echinoidea" "Cidaroida" "Paracidaridae" "Caenocidaris" 180.1 167.7 62 65
"2039" "Echinodermata" "Holothuroidea" "Apodida" "Synaptidae" "Calcancora" 247.2 0.0117 53 94
"2044" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Calceocrinus" 470 419.2 16 28
"2078" "Echinodermata" "Crinoidea" "Ampelocrinida" "Calceolispongiidae" "Calceolispongia" 358.9 252.17 36 52
"2131" "Echinodermata" "Holothuroidea" "Dendrochirotida" "Calclamnidae" "Calclamna" 247.2 11.608 53 92
"2160" "Echinodermata" "Holothuroidea" "Dendrochirotida" "Calclamnidae" "Calclamnella" 358.9 28.1 36 88
"2185" "Echinodermata" "Holothuroidea" "Dendrochirotida" "Calclamnidae" "Calclamnoidea" 247.2 157.3 53 67
"2195" "Echinodermata" "Holothuroidea" "Molpadiida" "Molpadiidae" "Calcligula" 237 28.1 56 88
"2215" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Caletaster" 130 83.5 73 80
"2273" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Calliderma" 100.5 47.8 76 84
"2340" "Echinodermata" "Echinoidea" "Holectypoida" "Discoididae" "Camerogalerus" 112.03 66 75 81
"2351" "Echinodermata" "Crinoidea" "Monobathrida" "Platycrinitidae" "Camptocrinus" 419.2 290.1 29 44
"2413" "Echinodermata" "Paracrinoidea" "Platycystitida" "Platycystitidae" "Canadocystis" 485.4 443.4 14 21
"2516" "Echinodermata" "Echinoidea" "Holasteroida" "Holasteridae" "Cardiaster" 145 53 70 84
"2579" "Echinodermata" "Echinoidea" "Holasteroida" "Holasteridae" "Cardiotaxis" 99.6 66 76 81
"2589" "Echinodermata" "Crinoidea" "Encrinida" "Encrinidae" "Carnallicrinus" 247.2 235 53 56
"2598" "Echinodermata" "Crinoidea" "Monobathrida" "Carpocrinidae" "Carpocrinus" 443.4 407.6 21 30
"2703" "Echinodermata" "Crinoidea" "Encrinida" "Encrinidae" "Cassianocrinus" 242 228 54 57
"2708" "Echinodermata" "Echinoidea" "Cassiduloida" "Cassidulidae" "Cassidulus" 72.1 4.9 81 93
"2739" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Catatonocrinus" 443.4 427.4 21 25
"2820" "Echinodermata" "Echinoidea" "Diadematoida" "Diadematidae" "Centrostephanus" 23.03 5.333 90 92
"2838" "Echinodermata" "Crinoidea" "Millericrinida" "Millericrinidae" "Ceriocrinus" 305.9 157.3 41 67
"2849" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Charactocrinus" 445.2 427.4 20 25
"2855" "Echinodermata" "Crinoidea" "Isocrinida" "Isocrinidae" "Chariocrinus" 175.6 139.8 62 70
"2859" "Echinodermata" "Stylophora" "Cornuta" "Cothurnocystidae" "Chauvelicystis" 478.6 466 14 17
"2939" "Echinodermata" "Crinoidea" "Encrinida" "Encrinidae" "Chelocrinus" 242 228 54 57
"2958" "Echinodermata" "Holothuroidea" "Apodida" "Chiridotidae" "Chiridota" 326.4 41.3 38 85
"2964" "Echinodermata" "Crinoidea" "Isocrinida" "Isocrinidae" "Chladocrinus" 201.3 132.9 59 72
"2988" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Chomataster" 100.5 61.6 76 82
"3006" "Echinodermata" "Asteroidea" "Paxillosida" "Goniopectinidae" "Chrispaulia" 161.2 93.5 67 77
"3011" "Echinodermata" "Echinoidea" "Holasteroida" "Holasteridae" "Cibaster" 86.3 72.1 79 80
"3013" "Echinodermata" "Crinoidea" "Sagenocrinida" "Mespilocrinidae" "Cibolocrinus" 318.1 272.3 39 46
"3041" "Echinodermata" "Echinoidea" "Cidaroida" "Cidaridae" "Cidaris" 247.2 0.0117 53 94
"3271" "Echinodermata" "Crinoidea" "Homocrinida" "Cincinnaticrinidae" "Cincinnaticrinus" 470 443.7 16 21
"3516" "Echinodermata" "Crinoidea" "Diplobathrida" "Cleiocrinidae" "Cleiocrinus" 460.9 445.2 17 19
"3536" "Echinodermata" "Crinoidea" "Monobathrida" "Hapalocrinidae" "Clematocrinus" 443.4 410.8 21 29
"3540" "Echinodermata" "Crinoidea" "Sagenocrinida" "Icthyocrinidae" "Clidochirus" 453 410.8 19 29
"3549" "Echinodermata" "Echinoidea" "Clypeasteroida" "Clypeasteridae" "Clypeaster" 41.3 0.0117 85 94
"3789" "Echinodermata" "Asteroidea" "Platyasterida" "Urasterellidae" "Cnemidactis" 471.8 445.6 15 19
"3796" "Echinodermata" "Echinoidea" "Stomopneustoida" "Stomechinidae" "Codechinus" 125 112.03 74 75
"3809" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Codiopsis" 145 61.6 70 82
"3846" "Echinodermata" "Crinoidea" "Dendrocrinida" "Cercidocrinidae" "Coeliocrinus" 358.9 290.1 36 44
"3848" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Coelopleurus" 72.1 38 81 86
"3863" "Echinodermata" "Echinoidea" "Holectypoida" "Holectypidae" "Coenholectypus" 140.2 61.6 70 82
"4025" "Echinodermata" "Crinoidea" "Homocrinida" "Columbicrinidae" "Columbicrinus" 460.9 449.5 17 19
"4027" "Echinodermata" "Paracrinoidea" "Comarocystitida" "Comarocystitidae" "Comarocystites" 460.9 449.5 17 19
"4038" "Echinodermata" "Crinoidea" "Monobathrida" "Tanaocrinidae" "Compsocrinus" 449.5 433.4 19 23
"4042" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Comptonia" 113 93.5 75 77
"4047" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Comptoniaster" 182 70.6 62 81
"4063" "Echinodermata" "Echinoidea" "Clypeasteroida" "Conoclypeidae" "Conoclypus" 47.8 13.82 85 91
"4078" "Echinodermata" "Echinoidea" "Echinoneoida" "Conulidae" "Conulus" 145 66 70 81
"4140" "Echinodermata" "Crinoidea" "Dendrocrinida" "Aphelecrinidae" "Cosmetocrinus" 376.1 326.4 34 38
"4147" "Echinodermata" "Echinoidea" "Calycina" "Phymosomatidae" "Cosmocyphus" 83.5 61.6 80 82
"4200" "Echinodermata" "Stylophora" "Cornuta" "Cothurnocystidae" "Cothurnocystis" 478.6 445.6 14 19
"4224" "Echinodermata" "Asteroidea" "Paxillosida" "Astropectinidae" "Coulonia" 136.4 66 71 81
"4238" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Crateraster" 113 47.8 75 84
"4277" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Cremacrinus" 460.9 445.2 17 19
"4327" "Echinodermata" "Crinoidea" "Diplobathrida" "Rhodocrinitidae" "Cribanocrinus" 358.9 326.4 36 38
"4342" "Echinodermata" "Crinoidea" "Diplobathrida" "Rhodocrinitidae" "Crinerocrinus" 470 449.5 16 19
"4354" "Echinodermata" "Holothuroidea" "Apodida" "Synaptitidae" "Croneisites" 47.8 11.608 85 92
"4358" "Echinodermata" "Crinoidea" "Cyathocrinida" "Crotalocrinitidae" "Crotalocrinites" 443.4 410.8 21 29
"4465" "Echinodermata" "Crinoidea" "Cyathocrinida" "Cupressocrinitidae" "Cupressocrinites" 419.2 360.7 29 35
"4489" "Echinodermata" "Coronoidea" "Coronata" "Stephanocrinidae" "Cupulocorona" 455.8 427.4 18 25
"4619" "Echinodermata" "Echinoidea" "Cidaroida" "Cidaridae" "Cyathocidaris" 129.4 66 73 81
"4627" "Echinodermata" "Crinoidea" "Cyathocrinida" "Cyathocrinitidae" "Cyathocrinites" 438.5 254.17 23 51
"4782" "Echinodermata" "Crinoidea" "Cyathocrinida" "Cyathocrinitidae" "Cyathocrinus" 433.4 383.7 24 33
"4787" "Echinodermata" "Edrioasteroidea" "Cyathocystida" "Cyathocystidae" "Cyathocystis" 470 449.5 16 19
"4795" "Echinodermata" "Edrioasteroidea" "Cyathocystida" "Cyathocystidae" "Cyathotheca" 460.9 443.4 17 21
"4800" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Cyclaster" 89.3 11.608 78 92
"4840" "Echinodermata" "Crinoidea" "Millericrinida" "Cyclocrinidae" "Cyclocrinus" 460.9 109 17 75
"4900" "Echinodermata" "Crinoidea" "Ampelocrinida" "Ampelocrinidae" "Cymbiocrinus" 336 268 37 48
"4948" "Echinodermata" "Crinoidea" "Homocrinida" "Homocrinidae" "Daedalocrinus" 460.9 445.2 17 19
"4995" "Echinodermata" "Ophiuroidea" "Ophiurida" "Amphiuridae" "Deckersamphiura" 83.5 61.6 80 82
"5046" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Deltacrinus" 387.7 358.9 33 35
"5050" "Echinodermata" "Crinoidea" "Bourgueticrinida" "Bathycrinidae" "Democrinus" 70.6 38 81 86
"5056" "Echinodermata" "Echinoidea" "Clypeasteroida" "Dendrasteridae" "Dendraster" 23.03 0.0117 90 94
"5097" "Echinodermata" "Crinoidea" "Dendrocrinida" "Dendrocrinidae" "Dendrocrinus" 470 410.8 16 29
"5180" "Echinodermata" "Crinoidea" "Diplobathrida" "Anthracocrinidae" "Deocrinus" 468.1 453 16 18
"5183" "Echinodermata" "Ophiuroidea" "Ophiurida" "Dermocomidae" "Dermocoma" 171.6 163.5 63 66
"5202" "Echinodermata" "Crinoidea" "Diplobathrida" "Rhodocrinitidae" "Diabolocrinus" 485.4 443.4 14 21
"5219" "Echinodermata" "Echinoidea" "Diadematoida" "Diadematidae" "Diadema" 201.3 0.0117 59 94
"5224" "Echinodermata" "Echinoidea" "Pedinoida" "Pedinidae" "Diademopsis" 228 161.2 57 67
"5266" "Echinodermata" "Crinoidea" "Monobathrida" "Dichocrinidae" "Dichocrinus" 358.9 252.17 36 52
"5368" "Echinodermata" "Crinoidea" "Diplobathrida" "Dimerocrinitidae" "Dimerocrinites" 443.4 410.8 21 29
"5501" "Echinodermata" "Echinoidea" "Cidaroida" "Diplocidaridae" "Diplocidaris" 182.7 145 62 69
"5525" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Diplodetus" 100.5 56 76 83
"5559" "Echinodermata" "Asteroidea" "Paxillosida" "Astropectinidae" "Dipsacaster" 129.4 66 73 81
"5586" "Echinodermata" "Edrioasteroidea" "Isorophida" "Agelacrinitidae" "Discocystis" 336 326.4 37 38
"5601" "Echinodermata" "Echinoidea" "Holectypoida" "Discoididae" "Discoides" 145 66 70 81
"5670" "Echinodermata" "Echinoidea" "Spatangoida" "Hemiasteridae" "Ditremaster" 47.8 33.9 85 87
"5711" "Echinodermata" "Crinoidea" "Homocrinida" "Cincinnaticrinidae" "Doliocrinus" 460.9 449.5 17 19
"5733" "Echinodermata" "Echinoidea" "Spatangoida" "Toxasteridae" "Douvillaster" 113 93.5 75 77
"5756" "Echinodermata" "Echinoidea" "Clypeasteroida" "Echinarachniidae" "Echinarachnius" 23.03 2.588 90 93
"5760" "Echinodermata" "Echinoidea" "Spatangoida" "Loveniidae" "Echinocardium" 20.44 0.781 90 94
"5787" "Echinodermata" "Echinoidea" "Spatangoida" "Echinocoridae" "Echinocorys" 145 56 70 83
"5973" "Echinodermata" "Echinoidea" "Clypeasteroida" "Fibulariidae" "Echinocyamus" 47.8 2.588 85 93
