"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"4150" "Mollusca" "Gastropoda" "Bellerophontida" "Bellerophontidae" "Anapetopsis" 433.4 419.2 24 28
"4176" "Mollusca" "Gastropoda" "Neogastropoda" "Olividae" "Anazola" 48.6 0.0117 84 94
"4434" "Mollusca" "Gastropoda" "Neogastropoda" "Olividae" "Ancilla" 72.1 0.0117 81 94
"4656" "Mollusca" "Gastropoda" "Neogastropoda" "Strepsiduridae" "Ancillarina" 61.6 23.03 83 89
"4662" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Ancistrolepis" 47.8 2.588 85 93
"4675" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Ancylus" 38 0 86 94
"4684" "Mollusca" "Gastropoda" "Murchisoniina" "Zygopleuridae" "Andangularia" 228 205.6 57 58
"4686" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Andicula" 66 37.2 82 87
"4688" "Mollusca" "Gastropoda" "Neogastropoda" "Raphitomidae" "Andonia" 20.44 2.588 90 93
"4691" "Mollusca" "Gastropoda" "Euomphalina" "Elasmonematidae" "Anematina" 358.9 259.9 36 49
"4722" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Aneurystoma" 23.03 11.608 90 92
"4818" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Angistoma" 33.9 23.03 88 89
"4839" "Mollusca" "Gastropoda" "Allogastropoda" "Mathildidae" "Angulathilda" 167.7 132.9 65 72
"4843" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Angyomphalus" 372.2 196.5 35 60
"4878" "Mollusca" "Gastropoda" "Basommatophora" "Siphonariidae" "Anisomyon" 139.8 61.6 70 82
"4923" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Anisus" 56 0 84 94
"4944" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Anomalofusus" 86.3 61.6 79 82
"5006" "Mollusca" "Gastropoda" "Euomphalina" "Anomphalidae" "Anomphalus" 410.8 199.3 30 59
"5099" "Mollusca" "Gastropoda" "Allogastropoda" "Anoptychiidae" "Anoptychia" 318.1 167.7 39 65
"5213" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Antillophos" 56 0 84 94
"5429" "Mollusca" "Gastropoda" "Neogastropoda" "Drilliidae" "Antimelatoma" 41.3 15.97 85 90
