"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"6855" "Mollusca" "Bivalvia" "Trigoniida" "Megatrigoniidae" "Anditrigonia" 166.1 109 66 75
"6868" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Anechinocardium" 66 23.03 82 89
"6881" "Mollusca" "Bivalvia" "Cardiida" "Tellinidae" "Angulus" 66 0 82 94
"7095" "Mollusca" "Bivalvia" "Veneroidei" "Arcticidae" "Anisocardia" 237 33.9 56 87
"7226" "Mollusca" "Bivalvia" "Veneroidei" "Arcticidae" "Anisocardioides" 139.8 125 70 74
"7229" "Mollusca" "Bivalvia" "Cardiida" "Sportellidae" "Anisodonta" 56 0.0117 84 94
"7243" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Annachlamys" 23.03 0.0117 90 94
"7254" "Mollusca" "Bivalvia" "Pectinida" "Buchiidae" "Anningella" 201.3 174.1 59 62
"7265" "Mollusca" "Bivalvia" "Pectinida" "Annuliconchidae" "Annuliconcha" 358.9 259.9 36 49
"7330" "Mollusca" "Bivalvia" "Unionida" "Unionidae" "Anodonta" 85.8 0.0117 79 94
"7347" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Anodontia" 61.6 0 83 94
"7515" "Mollusca" "Bivalvia" "Unionida" "Mulleriidae" "Anodontites" 72.1 5.333 81 92
"7519" "Mollusca" "Bivalvia" "Trigoniida" "Trigonodidae" "Anodontophora" 252.17 201.3 52 58
"7544" "Mollusca" "Bivalvia" "Modiomorphida" "Allodesmatidae" "Anodontopsis" 443.4 423 21 27
"7557" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Anomalocardia" 28.4 0 88 94
"7640" "Mollusca" "Bivalvia" "Myalinida" "Ambonychiidae" "Anomalocoelia" 453 433.4 19 23
"7642" "Mollusca" "Bivalvia" "Myalinida" "Ambonychiidae" "Anomalodonta" 452 443.7 19 21
"7650" "Mollusca" "Bivalvia" "Pectinida" "Anomiidae" "Anomia" 252.17 0 52 94
"9000" "Mollusca" "Bivalvia" "Myalinida" "Inoceramidae" "Anopaea" 163.5 100.5 67 75
"9012" "Mollusca" "Bivalvia" "Unionida" "Hyriidae" "Antediplodon" 221.5 201.3 57 58
"9014" "Mollusca" "Bivalvia" "Carditida" "Crassatellidae" "Anthonya" 129.4 66 73 81
"9108" "Mollusca" "Bivalvia" "Pholadida" "Corbulidae" "Anticorbula" 15.97 5.333 91 92
"9111" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Antigona" 37.2 0 87 94
"9177" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Antillipecten" 33.9 0.126 88 94
"9207" "Mollusca" "Bivalvia" "Hippuritida" "Antillocaprinidae" "Antillocaprina" 85.8 66 79 81
"9269" "Mollusca" "Bivalvia" "Cyrtodontida" "Antipleuridae" "Antipleura" 423 391.9 28 32
"9277" "Mollusca" "Bivalvia" "Veneroidei" "Arcticidae" "Antiquicyprina" 175.6 161.2 62 67
"9285" "Mollusca" "Bivalvia" "Pectinida" "Limidae" "Antiquilima" 242 113 54 74
"9340" "Mollusca" "Bivalvia" "Ostreida" "Halobiidae" "Aparimella" 242 228 54 57
"9357" "Mollusca" "Bivalvia" "Thraciida" "Periplomatidae" "Aperiploma" 38 0.0117 86 94
"9368" "Mollusca" "Bivalvia" "Myalinida" "Atomodesmatidae" "Aphanaia" 295.5 254.17 44 51
"9399" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Aphrodina" 140.2 61.6 70 82
"9553" "Mollusca" "Bivalvia" "Trigoniida" "Megatrigoniidae" "Apiotrigonia" 113 66 75 81
"9589" "Mollusca" "Bivalvia" "Cardiida" "Tellinidae" "Apolymetis" 28.4 0 88 94
"9616" "Mollusca" "Bivalvia" "Hippuritida" "Requieniidae" "Apricardia" 100.5 66 76 81
"9688" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Arca" 247.2 0 53 94
"10456" "Mollusca" "Bivalvia" "Ostreida" "Pteriidae" "Arcavicula" 251.3 205.6 52 58
"10502" "Mollusca" "Bivalvia" "Hippuritida" "Radiolitidae" "Archaeoradiolites" 122.46 99.6 74 76
"10515" "Mollusca" "Bivalvia" "Veneroidei" "Trapezidae" "Archaeotetra" 56 37.2 84 87
"10517" "Mollusca" "Bivalvia" "Veneroidei" "Chamidae" "Arcinella" 125 0 74 94
"10695" "Mollusca" "Bivalvia" "Pholadomyida" "Pholadomyidae" "Arcomya" 251.3 145 52 69
"10743" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Arcomytilus" 201.3 38 59 86
"10947" "Mollusca" "Bivalvia" "Cardiida" "Tellinidae" "Arcopagia" 130 0.0117 73 94
"11122" "Mollusca" "Bivalvia" "Cardiida" "Tellinidae" "Arcopaginula" 11.608 0 92 94
"11130" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Arcoperna" 66 2.588 82 93
"11157" "Mollusca" "Bivalvia" "Arcida" "Noetiidae" "Arcopsis" 72.1 0 81 94
"11307" "Mollusca" "Bivalvia" "Veneroidei" "Arcticidae" "Arctica" 247.2 0.0117 53 94
"11520" "Mollusca" "Bivalvia" "Myalinida" "Inoceramidae" "Arctomytiloides" 201.3 190.8 59 60
"11525" "Mollusca" "Bivalvia" "Ostreida" "Ostreidae" "Arctostrea" 168.3 66 65 81
"11572" "Mollusca" "Bivalvia" "Pectinida" "Oxytomidae" "Arctotis" 189.6 132.9 61 72
"11583" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Arcuatula" 66 0 82 94
"11590" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Arginella" 48.6 33.9 84 87
"11596" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Arginopsis" 41.3 33.9 85 87
"11599" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Argopecten" 48.6 0 84 94
"12194" "Mollusca" "Bivalvia" "Modiomorphida" "Modiomorphidae" "Aristerella" 460.9 190.8 17 60
"12206" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Armimiltha" 20.44 0.781 90 94
"12213" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Artena" 48.6 15.97 84 90
"12230" "Mollusca" "Bivalvia" "Cardiida" "Psammobiidae" "Asaphis" 15.97 0 91 94
"12245" "Mollusca" "Bivalvia" "Pandorida" "Clavagellidae" "Ascaulocardium" 83.5 66 80 81
"12256" "Mollusca" "Bivalvia" "Unionida" "Iridinidae" "Aspatharia" 5.333 0 93 94
"12276" "Mollusca" "Bivalvia" "Pholadida" "Pholadidae" "Aspidopholas" 48.6 11.62 84 92
"12279" "Mollusca" "Bivalvia" "Carditida" "Astartidae" "Astarte" 460.9 0 17 94
"13539" "Mollusca" "Bivalvia" "Carditida" "Astartidae" "Astartella" 358.9 247.2 36 53
"13800" "Mollusca" "Bivalvia" "Carditida" "Astartidae" "Astartemya" 125 66 74 81
"13822" "Mollusca" "Bivalvia" "Pholadomyida" "Megadesmidae" "Astartila" 298.9 252.17 43 52
"13871" "Mollusca" "Bivalvia" "Myalinida" "Atomodesmatidae" "Atomodesma" 298.9 251.3 43 52
"13935" "Mollusca" "Bivalvia" "Pectinida" "Dimyidae" "Atreta" 237 3.6 56 93
"14135" "Mollusca" "Bivalvia" "Ostreida" "Pinnidae" "Atrina" 247.2 0 53 94
"14311" "Mollusca" "Bivalvia" "Pectinida" "Buchiidae" "Aucellina" 163.5 66 67 81
"14408" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Aulacomya" 56 0 84 94
"14431" "Mollusca" "Bivalvia" "Ostreida" "Aulacomyellidae" "Aulacomyella" 161.2 145 67 69
"14504" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Austrocallista" 33.9 15.97 88 90
"14513" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Austrochlamys" 7.246 2.588 92 93
"14522" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Austrohinnites" 28.4 2.588 88 93
"14538" "Mollusca" "Bivalvia" "Nuculanida" "Neilonellidae" "Austrotindaria" 252.17 11.608 52 92
"14817" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Austrovenus" 11.608 0.126 92 94
"14820" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Avichlamys" 252.17 247.2 52 53
"14829" "Mollusca" "Bivalvia" "Ostreida" "Pteriidae" "Avicula" 252.17 3.6 52 93
"14914" "Mollusca" "Bivalvia" "Myalinida" "Myalinidae" "Aviculomyalina" 247.2 215.56 53 57
"14918" "Mollusca" "Bivalvia" "Pectinida" "Aviculopectinidae" "Aviculopecten" 407.6 100.5 31 75
"15491" "Mollusca" "Bivalvia" "Ostreida" "Pinnidae" "Aviculopinna" 336 252.17 37 52
"15559" "Mollusca" "Bivalvia" "Lucinida" "Thyasiridae" "Axinopsida" 56 0 84 94
"15567" "Mollusca" "Bivalvia" "Lucinida" "Thyasiridae" "Axinulus" 23.03 11.608 90 92
"15570" "Mollusca" "Bivalvia" "Lucinida" "Thyasiridae" "Axinus" 66 38 82 86
"15573" "Mollusca" "Bivalvia" "Cardiida" "Solecurtidae" "Azorinus" 23.03 0.0117 90 94
"15603" "Mollusca" "Bivalvia" "Pectinida" "Limidae" "Badiotella" 242 228 54 57
"15608" "Mollusca" "Bivalvia" "Ostreida" "Bakevelliidae" "Bakevellia" 330.9 66 38 81
"16322" "Mollusca" "Bivalvia" "Carditida" "Astartidae" "Balantioselena" 242 228 54 57
"16328" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Baluchicardia" 72.1 56 81 83
"16435" "Mollusca" "Bivalvia" "Pholadida" "Teredinidae" "Bankia" 56 0.0117 84 94
"16443" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Barbatia" 168.3 0 65 94
"17103" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Barbierella" 66 11.608 82 92
"17107" "Mollusca" "Bivalvia" "Pholadida" "Pholadidae" "Barnea" 56 0 84 94
"17159" "Mollusca" "Bivalvia" "Hippuritida" "Hippuritidae" "Barrettia" 85.8 66 79 81
"17179" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Bassina" 23.03 2.588 90 93
"17188" "Mollusca" "Bivalvia" "Cardiida" "Sportellidae" "Basterotia" 59.2 0.0117 83 94
"17223" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Batequeus" 47.8 33.9 85 87
"17226" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Bathyarca" 72.1 0 81 94
"17279" "Mollusca" "Bivalvia" "Carditida" "Crassatellidae" "Bathytormus" 83.6 33.9 80 87
"17467" "Mollusca" "Bivalvia" "Veneroidei" "Corbiculidae" "Batissa" 132.9 2.588 72 93
"17476" "Mollusca" "Bivalvia" "Hippuritida" "Requieniidae" "Bayleia" 86.3 66 79 81
