"","gen_dur","subf_dur","fam_dur","supfam_dur","ord_dur","cla_dur"
"128",9.21,0,13.55,NA,213.6,NA
"129",20.4,12.25,0,NA,284.45,NA
"130",8.79999999999998,0,19.6,NA,424.1,NA
"131",4.1,0,0,NA,187.05,NA
"132",50.1,5.705,0,NA,240.7235,NA
"133",4.1,8.65,133.8,NA,0,NA
"134",22.03,0,0,NA,0,NA
"135",22.03,0,0,NA,201.7,NA
"136",23.03,0,18.7,NA,245.2395,NA
"137",32.667,0,125.15,NA,60.45,NA
"138",24.4,0,209.68,NA,219.05,NA
"139",31.867,0,0,NA,107.7,NA
"140",145.467,0,20.9,NA,198.1,NA
"141",8.79999999999998,17.205,107.7,NA,62.4,NA
"142",28.1,0,57.55,NA,11,NA
"143",22.292,15.95,88.37,NA,211,NA
"144",10.6,6.065,155.75,NA,0,NA
"145",26.392,4.9,6.9,NA,92.77,NA
"146",17.7,0,8.09999999999997,NA,18.7,NA
"147",23.38,5.435,128.85,NA,0,NA
"148",4.1,0,55.05,NA,12.75,NA
"149",22.03,4.9,96.65,NA,49.55,NA
"150",32.1,0,0,NA,0,NA
"151",69.7,4.516,0,NA,87.8895,NA
"152",24.37,0,57.55,NA,196.85,NA
"153",19.4,0,0,NA,355.9,NA
"154",15.2,0,0,NA,39.45,NA
"155",34.612,0,77.7,NA,98.15,NA
"156",30.2,5.705,0,NA,103.1,NA
"157",9.1,0,107.7,NA,168.2395,NA
"158",35.394,5.435,0,NA,189.15,NA
"159",4.10000000000002,0,23.4,NA,129.9,NA
"160",35.9,0,0,NA,296.5,NA
"161",4.1,9.8345,125.15,NA,133.9235,NA
"162",50.174,0,0,NA,143.65,NA
"163",6.62,0,0,NA,68.1,NA
"164",37.074,19.25,81.3,NA,128.75,NA
"165",26.392,0,57.55,NA,293.55,NA
"166",2,0,0,NA,111.4,NA
"167",21.1,0,20.45,NA,0,NA
"168",58,0,14.9,NA,49.6,NA
"169",53.1,11.0235,0,NA,84.35,NA
"170",59.1883,0,0,NA,83.45,NA
"171",50.2883,0,151.005,NA,39.45,NA
"172",65.9883,0,0,NA,173.835,NA
"173",21.23,0,0,NA,117.7,NA
"174",4.1,20.15,0,NA,0,NA
"175",50.2883,0,57.55,NA,0,NA
"176",16.492,0,0,NA,192.885,NA
"177",78.77,0,87.55,NA,0,NA
"178",1.40000000000003,0,8.2,NA,226,NA
"179",43.9,0,0,NA,0,NA
"180",6.65000000000003,0,67.1,NA,151.9,NA
"181",11.15,0,125.15,NA,245.2395,NA
"182",4.1,5.3185,0,NA,290.65,NA
"183",82.292,0,0,NA,163.45,NA
"184",9.21,0,178.6,NA,18.7,NA
"185",21.1,0,21.95,NA,73.35,NA
"186",4.1,0,184.35,NA,195.05,NA
"187",17.3,0,121.05,NA,88,NA
"188",49.6,0,12.25,NA,180.8,NA
"189",15.2,0,57.55,NA,0,NA
"190",42,0,3.97,NA,24.75,NA
"191",27.9,0,38.105,NA,109.35,NA
"192",34.33,0,0,NA,85.65,NA
"193",47.8,0,31.53,NA,6.59999999999997,NA
"194",40.5,0,201.5,NA,5.79999999999995,NA
"195",47.712,0,81.9,NA,0,NA
"196",115.58,0,0,NA,187.95,NA
"197",19.5,0,73.1,NA,33.05,NA
"198",38,0,229.7,NA,13.75,NA
"199",1,0,81.3,NA,0,NA
"200",124.9883,0,34.5,NA,176.7,NA
"201",47.592,0,37.6,NA,72.35,NA
"202",15.7,0,57.55,NA,34.6,NA
"203",28.4,0,0,NA,12.55,NA
"204",59.1883,0,0,NA,0,NA
"205",36.48,15.5395,0,NA,0,NA
"206",33.9,0,62.45,NA,0,NA
"207",25.8,NA,27.7,NA,0,NA
"208",83.7,NA,58.05,NA,5.79999999999995,NA
"209",4.39999999999998,NA,0,NA,32.45,NA
"210",22.1,NA,0,NA,103.25,NA
"211",21.8,NA,43.4,NA,0,NA
"212",53.6,NA,289,NA,0,NA
"213",4.1,NA,0,NA,0,NA
"214",15.95,NA,0,NA,0,NA
"215",4.1,NA,38.2,NA,0,NA
"216",6.09999999999999,NA,8.09999999999997,NA,0,NA
"217",4.55,NA,0,NA,0,NA
"218",6.62,NA,38.105,NA,6.20000000000002,NA
"219",125,NA,8.85000000000002,NA,0,NA
"220",19.4,NA,48.7,NA,0,NA
"221",38.692,NA,0,NA,0,NA
"222",28.96,NA,90,NA,0,NA
"223",10.43,NA,8.89999999999998,NA,0,NA
"224",32.97,NA,0,NA,334.8395,NA
"225",10.43,NA,0,NA,93.2395,NA
"226",10.43,NA,21.95,NA,333.3,NA
"227",10.43,NA,15.95,NA,82,NA
"228",10.43,NA,18.7,NA,188.6,NA
"229",8.79999999999998,NA,0,NA,169.465,NA
"230",44,NA,0,NA,132.85,NA
"231",4.1,NA,0,NA,107.3,NA
"232",4.1,NA,27.8,NA,95.765,NA
"233",36.5,NA,156.3235,NA,95.765,NA
"234",11.8,NA,49.6,NA,14,NA
"235",19.2,NA,0,NA,50.4,NA
"236",95.1,NA,22.4,NA,95.765,NA
"237",4.1,NA,0,NA,158.7235,NA
"238",32.97,NA,128.75,NA,451.7395,NA
"239",4.1,NA,16.25,NA,389.7,NA
"240",16.4,NA,57.55,NA,230.805,NA
"241",8.79999999999998,NA,103.05,NA,314.35,NA
"242",17.9,NA,69.3735,NA,258.5395,NA
"243",6.60000000000002,NA,35.5,NA,260.4,NA
"244",4.1,NA,170.05,NA,348.8395,NA
"245",2.3,NA,43.3,NA,39.3,NA
"246",23.3,NA,0,NA,334.8395,NA
"247",8.79999999999998,NA,20.67,NA,229.865,NA
