occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
970043,occ,NA,,80283,Tepexisaurus,genus,197148,Albian,,113,100.5,37246,Chordata,33815,Reptilia,36322,Squamata,36379,NO_FAMILY_SPECIFIED,NF,Tepexisaurus,197148,NA,Tepexisaurus,n. gen.,,NA,tepexii,n. sp.
970048,occ,NA,,114999,Roxochampsa,genus,374297,Late Campanian,Early Maastrichtian,83.5,66,37247,Chordata,33815,Reptilia,36322,Eosuchia,37795,Itasuchidae,114389,Roxochampsa,374297,NA,Goniopholis,,,NA,paulistanus,n. sp.
970050,occ,NA,,115000,Zalmoxes,genus,66740,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,sp.,
970051,occ,NA,,115000,Struthiosaurus,genus,38830,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Nodosauridae,38817,Struthiosaurus,38830,NA,Struthiosaurus,,,NA,transylvanicus,
970053,occ,29963,,97813,Magyarosaurus,genus,52883,Early Maastrichtian,,70.6,66,49557,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Magyarosaurus,52883,NA,Magyarosaurus,,,NA,sp.,
970054,occ,NA,,97813,Zalmoxes,genus,66740,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,sp.,
970055,occ,NA,,97813,Kallokibotion,genus,168583,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Reptilia,36322,Testudinata,106739,NO_FAMILY_SPECIFIED,NF,Kallokibotion,168583,NA,Kallokibotion,,,NA,sp.,
970254,occ,NA,,80859,Telmatosaurus,genus,64068,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Telmatosaurus,64068,NA,Telmatosaurus,,,NA,transsylvanicus,
970255,occ,NA,,80859,Zalmoxes,genus,66740,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,sp.,
970258,occ,NA,,80859,Kallokibotion,genus,168583,Early Maastrichtian,,70.6,66,37235,Chordata,33815,Reptilia,36322,Testudinata,106739,NO_FAMILY_SPECIFIED,NF,Kallokibotion,168583,NA,Kallokibotion,,,NA,sp.,
