order,superfamily,family,genus,fad,lad
Miliolida,Soritoidea,Soritidae,Neorhipidionina,47.8,37.8
Miliolida,Soritoidea,Soritidae,Neotaberina,41.2,37.8
Miliolida,Soritoidea,Soritidae,Opertorbitolites,59.2,47.8
Miliolida,Soritoidea,Soritidae,Orbitolites,56,37.8
Miliolida,Soritoidea,Soritidae,Praerhapydionina,47.8,15.97
Miliolida,Soritoidea,Soritidae,Rhabdorites,47.8,37.8
Miliolida,Soritoidea,Soritidae,Somalina,47.8,41.2
Miliolida,Soritoidea,Soritidae,Taberina,66,61.6
Miliolida,Soritoidea,Soritidae,Twaraina,56,33.9
Miliolida,Soritoidea,Soritidae,Yaberinella,47.8,33.9
Miliolida,Soritoidea,Soritidae,Cycledomia,96,91.6
Miliolida,Soritoidea,Soritidae,Edomia,100.5,89.8
Miliolida,Soritoidea,Soritidae,Lamarmorella,89.8,83.6
Miliolida,Soritoidea,Soritidae,Murgella,89.8,66
Miliolida,Soritoidea,Soritidae,Praetaberina,96,93.9
Miliolida,Soritoidea,Soritidae,Pseudorhapydionina,96,93.9
Miliolida,Soritoidea,Soritidae,Pseudorhipidionina,100.5,93.9
Miliolida,Soritoidea,Soritidae,Scandonea,83.6,61.6
Miliolida,Soritoidea,Soritidae,Tarburina,70.1,66
Miliolida,Soritoidea,Soritidae,Zekritia,93.9,89.8
Miliolida,Soritoidea,Meandropsinidae,Ayalaina,83.6,66
Miliolida,Soritoidea,Meandropsinidae,Broeckina,100.5,66
Miliolida,Soritoidea,Meandropsinidae,Fallotia,86.3,83.6
Miliolida,Soritoidea,Meandropsinidae,Larrazetia,83.6,66
Miliolida,Soritoidea,Meandropsinidae,Meandropsina,89.8,66
Miliolida,Soritoidea,Meandropsinidae,Nummofallotia,89.8,66
Miliolida,Soritoidea,Meandropsinidae,Pastrikella,99.3,93.9
Miliolida,Soritoidea,Meandropsinidae,Perouvianella,86.3,83.6
Miliolida,Soritoidea,Meandropsinidae,Pseudobroeckinella,86.3,83.6
Miliolida,Soritoidea,Meandropsinidae,Spirapertolina,86.3,83.6
Miliolida,Soritoidea,Keramosphaeridae,Kanakaia,23.03,20.44
Miliolida,Soritoidea,Keramosphaeridae,Keramosphaerina,89.8,66
Miliolida,Soritoidea,Keramosphaeridae,Pavlovecina,145,139.4
Miliolida,Soritoidea,Milioliporidae,Galeanella,228.4,201.3
Miliolida,Soritoidea,Milioliporidae,Kamurana,259.8,247.1
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Eulinderina,47.8,11.63
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Helicolepidina,47.8,33.9
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Helicostegina,56,33.9
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Helicosteginopsis,37.8,33.9
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Polylepidina,41.2,37.8
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Astrolepidina,33.9,23.03
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Eulepidina,33.9,18.3
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Lepidocyclina,47.8,5.333
Rotaliida,Asterigerinoidea,Lepidocyclinidae,Pseudolepidina,47.8,37.8
Rotaliida,Asterigerinoidea,Amphisteginidae,Amphistegina,56,0
Rotaliida,Asterigerinoidea,Boreloididae,Boreloides,47.8,33.9
Rotaliida,Asterigerinoidea,Boreloididae,Eoconuloides,59.2,33.9
Rotaliida,Nummulitoidea,Cycloclypeidae,Cycloclypeus,33.9,0
Rotaliida,Nummulitoidea,Cycloclypeidae,Katacycloclypeus,14.6,11.63
Rotaliida,Nummulitoidea,Nummulitidae,Heterocyclina,0.0118,0
Rotaliida,Nummulitoidea,Nummulitidae,Bozorgniella,23.03,20.44
Rotaliida,Nummulitoidea,Nummulitidae,Planoperculina,0.0118,0
Rotaliida,Nummulitoidea,Nummulitidae,Radiocycloclypeus,20.44,11.63
Rotaliida,Nummulitoidea,Nummulitidae,Operculinella,33.9,0
Rotaliida,Nummulitoidea,Nummulitidae,Grzybowskia,37.8,33.9
Rotaliida,Nummulitoidea,Nummulitidae,Heterostegina,37.8,0
Rotaliida,Nummulitoidea,Nummulitidae,Spiroclypeus,37.8,15.97
Rotaliida,Nummulitoidea,Nummulitidae,Tansinhokella,37.8,15.97
Rotaliida,Nummulitoidea,Nummulitidae,Assilina,59.2,11.63
Rotaliida,Nummulitoidea,Nummulitidae,Chordoperculinoides,61.6,56
Rotaliida,Nummulitoidea,Nummulitidae,Nummulites,61.6,28.1
Rotaliida,Nummulitoidea,Nummulitidae,Operculina,59.2,0
Rotaliida,Nummulitoidea,Nummulitidae,Palaeonummulites,59.2,0
Rotaliida,Nummulitoidea,Nummulitidae,Planocamerinoides,59.2,37.8
Rotaliida,Nummulitoidea,Nummulitidae,Planostegina,59.2,0
Rotaliida,Nummulitoidea,Nummulitidae,Ranikothalia,59.2,56
Rotaliida,Nummulitoidea,Pellatispiridae,Biplanispira,47.8,33.9
Rotaliida,Nummulitoidea,Pellatispiridae,Pellatispira,41.2,33.9
Rotaliida,Nummulitoidea,Pellatispiridae,Serraia,41.2,37.8
Rotaliida,Nummulitoidea,Pellatispiridae,Vacuolispira,37.8,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Actinocyclina,47.8,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Asterophragmina,37.8,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Athecocyclina,56,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Discocyclina,61.6,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Hexagonocyclina,56,37.8
Rotaliida,Nummulitoidea,Orthophragminidae,Nemkovella,59.2,47.8
Rotaliida,Nummulitoidea,Orthophragminidae,Proporocyclina,56,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Pseudophragmina,56,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Asterocyclina,61.6,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Neodiscocyclina,47.8,37.8
Rotaliida,Nummulitoidea,Orthophragminidae,Orbitoclypeus,59.2,33.9
Rotaliida,Nummulitoidea,Orthophragminidae,Stenocyclina,47.8,37.8
Rotaliida,Planorbulinoidea,Planorbulinidae,Planorbulinopsis,0.0118,0
Rotaliida,Planorbulinoidea,Planorbulinidae,Neoplanorbulinella,37.8,15.97
Rotaliida,Planorbulinoidea,Planorbulinidae,Peelella,28.1,23.03
Rotaliida,Planorbulinoidea,Planorbulinidae,Planolinderina,28.1,15.97
Rotaliida,Planorbulinoidea,Planorbulinidae,Planorbulina,56,0
Rotaliida,Planorbulinoidea,Planorbulinidae,Planorbulinella,56,0
Rotaliida,Planorbulinoidea,Planorbulinidae,Tayamaia,26.7,15.97
Rotaliida,Planorbulinoidea,Victoriellidae,Carpenteria,37.8,0
Rotaliida,Planorbulinoidea,Victoriellidae,Rupertina,23.03,0
Rotaliida,Planorbulinoidea,Victoriellidae,Neocarpenteria,37.8,33.9
Rotaliida,Planorbulinoidea,Victoriellidae,Biarritzina,47.8,0
Rotaliida,Planorbulinoidea,Victoriellidae,Eorupertia,47.8,33.9
Rotaliida,Planorbulinoidea,Victoriellidae,Korobkovella,47.8,37.8
Rotaliida,Planorbulinoidea,Victoriellidae,Maslinella,37.8,33.9
Rotaliida,Planorbulinoidea,Victoriellidae,Victoriella,37.8,15.97
Rotaliida,Planorbulinoidea,Victoriellidae,Wadella,37.8,33.9
Rotaliida,Planorbulinoidea,Eoannularidae,Eoannularia,47.8,37.8
Rotaliida,Planorbulinoidea,Eoannularidae,Epiannularia,47.8,37.8
Rotaliida,Planorbulinoidea,Linderinidae,Caudriella,47.8,37.8
Rotaliida,Planorbulinoidea,Linderinidae,Linderina,47.8,33.9
Rotaliida,Planorbulinoidea,Cymbaloporidae,Cymbalopora,100.5,59.2
Rotaliida,Planorbulinoidea,Cymbaloporidae,Eofabiania,56,37.8
Rotaliida,Planorbulinoidea,Cymbaloporidae,Fabiania,59.2,33.9
Rotaliida,Planorbulinoidea,Cymbaloporidae,Gunteria,47.8,37.8
Rotaliida,Planorbulinoidea,Cymbaloporidae,Halkyardia,47.8,28.1
Rotaliida,Planorbulinoidea,Cymbaloporidae,Archaecyclus,100.5,72.1
Rotaliida,Rotalioidea,Calcarinidae,Baculogypsina,2.59,0
Rotaliida,Rotalioidea,Calcarinidae,Baculogypsinoides,0.0118,0
Rotaliida,Rotalioidea,Calcarinidae,Calcarina,5.333,0
Rotaliida,Rotalioidea,Calcarinidae,Quasirotalia,5.333,0
Rotaliida,Rotalioidea,Calcarinidae,Schlumbergerella,2.59,0
Rotaliida,Rotalioidea,Calcarinidae,Silvestriella,47.8,37.8
Rotaliida,Rotalioidea,Calcarinidae,Meghalayana,37.8,33.9
Rotaliida,Rotalioidea,Calcarinidae,Siderolites,72.1,66
Rotaliida,Rotalioidea,Elphidiidae,Elphidium,56,0
Rotaliida,Rotalioidea,Elphidiidae,Pellatispirella,47.8,37.8
Rotaliida,Rotalioidea,Chapmaninidae,Tenisonina,23.03,15.97
